family,n,p,amplitude,qextra,field,multi,canonical_error,mean_error,mean_to_canonical,change_over_error,change_l2,canonical_relative,floor
quad,4.0,3.0,0.0,0.0,sine,xyy,0.3157460756633393,0.3157460756627784,0.9999999999982236,1.679803501046517e-11,5.303913633409757e-12,0.024732447191603352,0.0008126524654896508
quad,4.0,3.0,0.0,0.0,exponential,xy,6.916446153738885e-05,6.9164461503846e-05,0.9999999995150276,5.017188485040748e-09,3.4701113999943104e-13,5.9042188138692323e-05,9.057068976416739e-07
quad,4.0,3.0,0.0,0.0,exponential,xxy,0.0032257758834185447,0.003225775882347045,0.9999999996678319,2.3074613188066483e-09,7.443353074127636e-12,0.0027536810432493165,9.057068976416739e-07
quad,4.0,3.0,0.0,0.0,exponential,xyy,0.0004066092047893201,0.0004066092030488126,0.9999999957194587,3.478236493895625e-08,1.414282974852093e-11,0.0006942032550956066,4.5285344882083697e-07
quad,4.0,3.0,0.0,0.0,cubic,xy,6.012427304341458e-13,5.968980402566597e-13,0.9927738167007043,0.12699073111294953,7.63522539141782e-14,2.783213023390307e-13,2.4498847007123424e-15
quad,4.0,3.0,0.0,0.0,cubic,xxy,1.3504322555141206e-11,1.3093181857433108e-11,0.9695548817032977,0.11509236845521151,1.554244467254335e-12,6.752161277570577e-12,1.867269483890002e-15
quad,4.0,3.0,0.0,0.0,cubic,xyy,1.6503660444338278e-11,1.673300607413867e-11,1.0138966522350543,0.1921963821098842,3.1719438289718213e-12,8.251830222169108e-12,1.867269483890002e-15
quad,8.0,3.0,0.0,0.0,sine,xy,0.0008802483440891259,0.0008802483440771918,0.9999999999864423,5.951928406302378e-10,5.239175123784699e-13,0.00020810874007027287,1.6892231638537873e-05
quad,8.0,3.0,0.0,0.0,sine,xxy,0.023613731565718152,0.023613731567169362,1.0000000000614562,9.472320345404924e-10,2.2367682994088253e-11,0.0027745017941340905,3.3994708962654995e-05
quad,8.0,3.0,0.0,0.0,sine,xyy,0.07927987855379562,0.07927987855121413,0.9999999999674383,5.824876041745443e-10,4.6179546518049245e-11,0.006210007220419545,5.099206344394777e-05
quad,8.0,3.0,0.0,0.0,exponential,xy,8.671633658146796e-06,8.671633638359656e-06,0.9999999977181762,2.0773956401438372e-07,1.8014413954358707e-12,7.4025332451601045e-06,5.679348727719962e-08
quad,8.0,3.0,0.0,0.0,exponential,xxy,0.0008087109817449268,0.0008087109781471806,0.9999999955512583,9.382552180261088e-08,7.587772984971948e-11,0.0006903554928740217,5.679348727719962e-08
quad,8.0,3.0,0.0,0.0,exponential,xyy,0.00010130198701936178,0.00010130199414413566,1.000000070332025,1.5483154961994307e-06,1.568474362978714e-10,0.00017295272292945578,2.839674363859981e-08
quad,8.0,3.0,0.0,0.0,cubic,xy,2.810554566350757e-12,2.806647381039557e-12,0.998609816952861,0.1503473978277479,4.225595655037307e-13,1.3010339545175254e-12,2.9383176100646965e-15
quad,8.0,3.0,0.0,0.0,cubic,xxy,1.5896895465622644e-10,1.5668434671029142e-10,0.9856285904950716,0.10782138245336789,1.714025245820109e-11,7.948447732811361e-11,1.7186873464280927e-15
quad,8.0,3.0,0.0,0.0,cubic,xyy,1.5680132102821482e-10,1.5827674563426927e-10,1.0094095164274093,0.23055468785910915,3.615127962555604e-11,7.84006605141078e-11,1.7186873464280927e-15
quad,2.0,4.0,0.0,0.0,sine,xy,0.005510314386158648,0.0055103143861622,1.0000000000006446,1.6190439701072006e-11,8.921441280305121e-14,0.001302751197426241,0.00031917563255619866
quad,2.0,4.0,0.0,0.0,sine,xxy,0.03876520899249197,0.038765208992496136,1.0000000000001075,4.188563671094013e-11,1.6237054608831882e-12,0.004554728743329853,0.0006326201293983416
quad,2.0,4.0,0.0,0.0,sine,xyy,0.1875356468343033,0.1875356468344,1.0000000000005156,1.6341529575326966e-11,3.06461931917084e-12,0.01468970112179012,0.0009489301940975607
quad,2.0,4.0,0.0,0.0,exponential,xy,1.8545300197755945e-05,1.8545300195912412e-05,0.999999999900593,1.4199298653549942e-08,2.6333025612767546e-13,1.5831180913228484e-05,3.586536767304281e-07
quad,2.0,4.0,0.0,0.0,exponential,xxy,0.0006474605928820169,0.0006474605929221544,1.0000000000619922,7.913249276693716e-09,5.123517068311305e-12,0.0005527042253725115,3.586536767304281e-07
quad,2.0,4.0,0.0,0.0,exponential,xyy,4.2130427298899766e-05,4.213042520254461e-05,0.9999999502413033,2.4362669256246337e-07,1.0264096659074267e-11,7.192921218942671e-05,1.7932683836521405e-07
quad,2.0,4.0,0.0,0.0,cubic,xy,4.1877192989417176e-13,4.1305009405080616e-13,0.9863366299531786,0.13727098854745978,5.748523679250048e-14,1.9385373495828316e-13,2.754792817789964e-15
quad,2.0,4.0,0.0,0.0,cubic,xxy,1.050860397698325e-11,1.0245855318897198e-11,0.9749968065537968,0.11969321732689267,1.2578086196193047e-12,5.254301988491629e-12,2.02993324274689e-15
quad,2.0,4.0,0.0,0.0,cubic,xyy,1.0438366058764208e-11,1.0285296279950633e-11,0.9853358487380258,0.1974839634329505,2.0614099010487424e-12,5.219183029382108e-12,2.02993324274689e-15
quad,4.0,4.0,0.0,0.0,sine,xy,0.00035145826379297615,0.0003514582637995053,1.0000000000185774,8.362125226301256e-10,2.938938013655287e-13,8.309193303956524e-05,1.0109339085375614e-05
quad,4.0,4.0,0.0,0.0,sine,xxy,0.004775266338886737,0.004775266338854705,0.9999999999932921,2.2182312095945896e-09,1.0592644827045054e-11,0.0005610712134944375,2.0084546786984816e-05
quad,4.0,4.0,0.0,0.0,sine,xyy,0.023909178959412726,0.023909178959914904,1.0000000000210036,9.125569076532455e-10,2.181848641572972e-11,0.001872810310519174,3.012682018045341e-05
quad,4.0,4.0,0.0,0.0,exponential,xy,1.1741586035215842e-06,1.1741585966082091e-06,0.9999999941120602,8.517698015204277e-07,1.0001128406750824e-12,1.002319567489296e-06,1.1360130562918518e-08
quad,4.0,4.0,0.0,0.0,exponential,xxy,8.194066581563606e-05,8.194066617728185e-05,1.0000000044135082,4.35175621383283e-07,3.5658580162879356e-11,6.994858486220127e-05,1.1360130562918518e-08
quad,4.0,4.0,0.0,0.0,exponential,xyy,5.174723892815223e-06,5.17471572867988e-06,0.9999984223051294,1.5097508529251208e-05,7.812543810829784e-11,8.834797954155152e-06,5.680065281459259e-09
quad,4.0,4.0,0.0,0.0,cubic,xy,3.0123732806758257e-12,3.0225384251431936e-12,1.0033744637600448,0.06893713161761877,2.0766437333134744e-13,1.394457865633727e-12,3.0968206737880903e-15
quad,4.0,4.0,0.0,0.0,cubic,xxy,1.490978659238011e-10,1.4957377300559485e-10,1.003191910755027,0.05008135945081615,7.467023816679475e-12,7.454893296190004e-11,2.472248354621728e-15
quad,4.0,4.0,0.0,0.0,cubic,xyy,1.4985792004514563e-10,1.5098816087869878e-10,1.0075420827488641,0.10518616084275183,1.5762979281428932e-11,7.49289600225723e-11,2.472248354621728e-15
quad,8.0,4.0,0.0,0.0,sine,xy,2.2077475969307037e-05,2.207747599346005e-05,1.0000000010940115,5.0984476057964114e-08,1.1256085449774127e-12,5.219567567217172e-06,3.1700246222306864e-07
