active_elements,cadence,case,cell_average_l2_error,cfl,conservation_drift,dimension,dofs,downwind_l2_error,elements,exit_code,filter_applications,id,l1_error,l2_error,limited_elements,linf_error,max,maximum,method,min,min_density,min_pressure,minimum,n,order,peak_mib,positivity_applications,problem,profile_prefix,program,ranks,rejected_steps,runtime_seconds,state_l2_error,status,steps,tf,time,wall_seconds
24620,step,smooth_advection,7.527592198477848e-10,0.15,2.442490654175344e-15,1,768,8.42543401755981e-10,256,0,9387,smooth_advection_ofdg-kxrcf_p2_n256_c0.15,1.51134807182991e-07,2.040524631748172e-07,,4.51983548366286e-07,,0.99999397429835,ofdg-kxrcf,,,,6.032064956011942e-06,256,2,19.859375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p2_n256_c0.15,advection,1,,8.846178958333335,,ok,9387,1.1,1.1,8.981794250081293
0,step,smooth_advection,4.985428052513477e-09,0.15,9.992007221626409e-16,1,128,5.061805994320455e-09,32,0,0,smooth_advection_dg_p3_n32_c0.15,1.924502594590518e-06,2.519698849170228e-06,,5.322260701490222e-06,,0.999351347761793,dg,,,,0.0006486522382078874,32,3,0.546875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p3_n32_c0.15,advection,1,,0.1488282916666667,,ok,1643,1.1,1.1,0.22916600003372878
0,step,smooth_advection,4.577060169233896e-05,0.15,7.216449660063518e-16,1,128,4.76944738899922e-05,32,0,1643,smooth_advection_ofdg_p3_n32_c0.15,4.14573980693234e-05,4.791851773727423e-05,,8.30600408439075e-05,,0.9992797969094931,ofdg,,,,0.0007202030905038621,32,3,19.234375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p3_n32_c0.15,advection,1,,0.2020345833333334,,ok,1643,1.1,1.1,0.4505072090541944
8306,step,smooth_advection,2.532537960357519e-05,0.15,1.27675647831893e-15,1,128,2.585698360110701e-05,32,0,1643,smooth_advection_ofdg-kxrcf_p3_n32_c0.15,1.538195084761142e-05,2.911343556085204e-05,,8.692276481706766e-05,,0.9993513411685864,ofdg-kxrcf,,,,0.0007303899664492791,32,3,18.9375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p3_n32_c0.15,advection,1,,0.2113630416666667,,ok,1643,1.1,1.1,0.4625343750230968
0,step,smooth_advection,3.878135901161716e-11,0.15,6.661338147750939e-16,1,256,3.862035734463913e-11,64,0,0,smooth_advection_dg_p3_n64_c0.15,1.196448944590001e-07,1.575969812440929e-07,,3.367006068223178e-07,,0.9999529677050941,dg,,,,4.703229490472321e-05,64,3,18.859375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p3_n64_c0.15,advection,1,,0.5862477083333334,,ok,3286,1.1,1.1,0.6883513749344274
0,step,smooth_advection,1.567333183498941e-06,0.15,1.443289932012704e-15,1,256,1.600644027936954e-06,64,0,3286,smooth_advection_ofdg_p3_n64_c0.15,1.418673236171817e-06,1.603089220939716e-06,,2.789696800231667e-06,,0.9999505446947824,ofdg,,,,4.945530521114875e-05,64,3,19.1875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p3_n64_c0.15,advection,1,,0.81024925,,ok,3286,1.1,1.1,0.8965410409728065
16396,step,smooth_advection,5.442671680193055e-07,0.15,6.106226635438361e-16,1,256,7.874165251656799e-07,64,0,3286,smooth_advection_ofdg-kxrcf_p3_n64_c0.15,3.28200675467761e-07,7.164548979525432e-07,,3.096186701326449e-06,,0.9999529677053582,ofdg-kxrcf,,,,5.0064698723393e-05,64,3,19.046875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p3_n64_c0.15,advection,1,,0.7858915833333334,,ok,3286,1.1,1.1,0.9005574169568717
0,step,smooth_advection,9.527314239477109e-13,0.15,2.664535259100376e-15,1,512,9.322013372279476e-13,128,0,0,smooth_advection_dg_p3_n128_c0.15,7.483962794336636e-09,9.851632971182677e-09,,2.105774744116592e-08,,0.9999592614760816,dg,,,,4.073852391661338e-05,128,3,18.984375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p3_n128_c0.15,advection,1,,2.2823595,,ok,6571,1.1,1.1,2.435936584020965
0,step,smooth_advection,5.147429151343561e-08,0.15,3.497202527569243e-15,1,512,5.181537128009719e-08,128,0,6571,smooth_advection_ofdg_p3_n128_c0.15,4.678547289953919e-08,5.275119744985412e-08,,9.715927362652366e-08,,0.9999591851925665,ofdg,,,,4.08148074232343e-05,128,3,19.328125,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p3_n128_c0.15,advection,1,,3.205052333333334,,ok,6571,1.1,1.1,3.3657659590244293
31892,step,smooth_advection,1.28480549851534e-08,0.15,2.275957200481571e-15,1,512,1.443657152046797e-08,128,0,6571,smooth_advection_ofdg-kxrcf_p3_n128_c0.15,1.024033902571681e-08,1.802670405954261e-08,,1.088358234477456e-07,,0.9999592614760781,ofdg-kxrcf,,,,4.083756060708078e-05,128,3,19.421875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p3_n128_c0.15,advection,1,,3.181755791666667,,ok,6571,1.1,1.1,3.3912435829406604
0,step,smooth_advection,3.585946919092954e-13,0.15,4.107825191113079e-15,1,1024,3.588386741992621e-13,256,0,0,smooth_advection_dg_p3_n256_c0.15,4.676465569390103e-10,6.157556401743551e-10,,1.316491739448001e-09,,0.9999970483657742,dg,,,,2.951634222209639e-06,256,3,19.09375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p3_n256_c0.15,advection,1,,9.338841374999999,,ok,13142,1.1,1.1,9.426364167011343
0,step,smooth_advection,1.647060292941419e-09,0.15,8.93729534823251e-15,1,1024,1.652821296617817e-09,256,0,13142,smooth_advection_ofdg_p3_n256_c0.15,1.536813536497014e-09,1.763173382444032e-09,,3.677735560536632e-09,,0.9999970459829863,ofdg,,,,2.954017002134657e-06,256,3,19.640625,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p3_n256_c0.15,advection,1,,12.65224641666667,,ok,13142,1.1,1.1,12.75289633392822
63098,step,smooth_advection,2.695653147011856e-10,0.15,5.88418203051333e-15,1,1024,3.236689075765783e-10,256,0,13142,smooth_advection_ofdg-kxrcf_p3_n256_c0.15,4.937739640204702e-10,6.945857473028413e-10,,3.689143682468597e-09,,0.9999970483657787,ofdg-kxrcf,,,,2.954716325463282e-06,256,3,19.84375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p3_n256_c0.15,advection,1,,12.821065625,,ok,13142,1.1,1.1,12.985619000042789
0,step,piecewise_advection,0.03534011284175741,0.15,4.163336342344337e-17,1,384,0.07638759524059636,128,0,0,piecewise_advection_dg_p2_n128_c0.15,0.01331301635477737,0.06710791535276012,,0.8363524569156482,,1.072882620738261,dg,,,,-1.016945866431977,128,2,18.8125,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/piecewise_advection_dg_p2_n128_c0.15,advection,1,,1.60561075,,ok,4694,1.1,1.1,1.7932029580697417
0,step,piecewise_advection,0.06781620663768297,0.15,2.983724378680108e-16,1,384,0.09783422177545889,128,0,4694,piecewise_advection_ofdg_p2_n128_c0.15,0.01959070780860938,0.094372991570393,,0.8639739333723597,,0.9127508341061151,ofdg,,,,-1.00025924705358,128,2,19.171875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/piecewise_advection_ofdg_p2_n128_c0.15,advection,1,,2.163391583333333,,ok,4694,1.1,1.1,2.459558584028855
104108,step,piecewise_advection,0.06780215883105455,0.15,2.151057110211241e-16,1,384,0.09784471605830201,128,0,4694,piecewise_advection_ofdg-kxrcf_p2_n128_c0.15,0.01957338223875077,0.09437165111862907,,0.8640375749621468,,0.9134073279044549,ofdg-kxrcf,,,,-1.000282238660204,128,2,19.1875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/piecewise_advection_ofdg-kxrcf_p2_n128_c0.15,advection,1,,2.226416416666667,,ok,4694,1.1,1.1,2.4914457090198994
