family,p,field,order,derivative,abs_l2,rel_l2,digits,face_rel_max,sample_rel_max
quad,3,represented_quadratic,1,x,0.0003470312031878399,0.000172574928619384,3.763022297572941,0.0004955812715708761,0.0006734653428201019
quad,3,represented_quadratic,2,xx,0.15609258367378506,0.008305851682729534,2.080615828336572,0.021499275771375462,0.02362855171945276
quad,3,represented_quadratic,3,xxx,52.51607952553264,0.08464317115628878,1.0724080741619324,0.15368047330858922,0.15922845158309962
quad,4,represented_quadratic,1,x,3.9513254499514744e-05,1.9649521461280123e-05,4.706648021841026,6.238327685152943e-05,8.386547404903288e-05
quad,4,represented_quadratic,2,xx,0.024445841315020145,0.001300789105050865,2.8857931092316376,0.004075681769298639,0.004464013549314943
quad,4,represented_quadratic,3,xxx,12.267031907355603,0.019771477435004244,1.7039608765692014,0.043657872521734496,0.04513699287584008
tri,2,represented_quadratic,1,x,0.0024561969259044507,0.0012214406234060458,2.913127640073168,0.0027105287361102416,0.011473777016450318
tri,2,represented_quadratic,2,xx,0.758320864240837,0.040351056264572846,1.394145092320565,0.07540168639410041,0.15318762297361146
tri,3,represented_quadratic,1,x,0.0002727475399356687,0.00013563445247323275,3.8676299814236814,0.00033916837962303227,0.0018012698640119979
tri,3,represented_quadratic,2,xx,0.12302428432587525,0.006546252454377518,2.1840072502609886,0.01514891310235597,0.03893570457410109
tri,3,represented_quadratic,3,xxx,44.82282074724396,0.0722435056556693,1.1412011878056765,0.12398574118975332,0.22151881298282844
tri,4,represented_quadratic,1,x,3.076039054000535e-05,1.5296815251717877e-05,4.8153989785010705,4.20465608675961e-05,0.00026655645804539717
tri,4,represented_quadratic,2,xx,0.018731692119507867,0.0009967331749491132,3.0014210865794677,0.00274875818977442,0.008522889843561076
tri,4,represented_quadratic,3,xxx,10.019466376055089,0.016148947427630095,1.7918557792938228,0.03326340347251198,0.07146445715393612
