family,map,field,p,n,amplitude,derivative,rate
quad,coupled,sine,3.0,8.0,1.2,xyy,1.4010551685065782
quad,coupled,sine,3.0,8.0,1.2,yyy,0.977124881667104
quad,coupled,shortwave,3.0,8.0,1.2,x,2.911587384347281
quad,coupled,shortwave,3.0,8.0,1.2,y,2.9213946542836187
quad,coupled,shortwave,3.0,8.0,1.2,xx,1.9129763165246734
quad,coupled,shortwave,3.0,8.0,1.2,xy,2.4631064121265656
quad,coupled,shortwave,3.0,8.0,1.2,yy,1.911061751235777
quad,coupled,shortwave,3.0,8.0,1.2,xxx,0.9234878107548262
quad,coupled,shortwave,3.0,8.0,1.2,xxy,1.6516198962961668
quad,coupled,shortwave,3.0,8.0,1.2,xyy,1.9523083875260963
quad,coupled,shortwave,3.0,8.0,1.2,yyy,0.9210690859736332
quad,coupled,exponential,3.0,8.0,1.2,x,3.0016969167752845
quad,coupled,exponential,3.0,8.0,1.2,y,2.9860119199223663
quad,coupled,exponential,3.0,8.0,1.2,xx,2.0067005383895045
quad,coupled,exponential,3.0,8.0,1.2,xy,2.497569534618374
quad,coupled,exponential,3.0,8.0,1.2,yy,1.9894036157567816
quad,coupled,exponential,3.0,8.0,1.2,xxx,1.019708314856924
quad,coupled,exponential,3.0,8.0,1.2,xxy,1.7629607699979704
quad,coupled,exponential,3.0,8.0,1.2,xyy,1.8823411075002456
quad,coupled,exponential,3.0,8.0,1.2,yyy,0.9990583389283589
quad,coupled,sine,3.0,16.0,1.2,x,2.987615175273437
quad,coupled,sine,3.0,16.0,1.2,y,2.9896236311622135
quad,coupled,sine,3.0,16.0,1.2,xx,1.9921155401469028
quad,coupled,sine,3.0,16.0,1.2,xy,2.0520073968898744
quad,coupled,sine,3.0,16.0,1.2,yy,1.992109969448477
quad,coupled,sine,3.0,16.0,1.2,xxx,0.9979127171550599
quad,coupled,sine,3.0,16.0,1.2,xxy,1.2634457155632957
quad,coupled,sine,3.0,16.0,1.2,xyy,1.1401980429762757
quad,coupled,sine,3.0,16.0,1.2,yyy,0.9948465117874984
quad,coupled,shortwave,3.0,16.0,1.2,x,2.977072497433944
quad,coupled,shortwave,3.0,16.0,1.2,y,2.9799091607032255
quad,coupled,shortwave,3.0,16.0,1.2,xx,1.9775399343551165
quad,coupled,shortwave,3.0,16.0,1.2,xy,2.2003993224626184
quad,coupled,shortwave,3.0,16.0,1.2,yy,1.976128031216787
