family,level,method,problem,cfl,quadrature,elements,dofs,steps,final_time,l2,relative_l2,l1,minimum,maximum,initial_minimum,initial_maximum,mass_drift,filter_mean_defect,constant_operator_residual,flux_mismatch,area
quad,3,dg,0,0.12,20,384,1536,315,1.5707963267948903,0.0030819244621756313,0.00083528754338420838,0.0075537522713220234,0.49270791719949147,1.5072920828005125,0.49531793656230444,1.5046820634377016,1.5987211554602254e-14,0,4.5971632636074819e-14,1.1102230246251565e-16,12.56637061435914
quad,3,ofdg,0,0.12,20,384,1536,315,1.5707963267948903,0.0074762084277079565,0.0020262611391195801,0.019271763239198627,0.49907770093531112,1.500922299064694,0.49531793656230444,1.5046820634377016,7.1054273576010019e-15,4.4408920985006262e-16,4.5971632636074819e-14,1.1102230246251565e-16,12.56637061435914
tri,1,dg,1,0.12,20,32,96,48,1.5707963267948954,0.67872897007459643,0.38318197353059102,1.5732011143320583,-0.20009440348193788,1.3290915801924081,-0.54380564366993311,1.2381954580890566,0,0,3.9453736842974898e-11,3.3306690738754696e-16,12.566370614359187
tri,1,ofdg,1,0.12,20,32,96,48,1.5707963267948954,0.82341243055459412,0.46486420070569978,2.0310408281946635,-0.075332890130052343,0.9476970641214425,-0.54380564366993311,1.2381954580890566,3.6859404417555197e-14,7.7715611723760958e-16,3.9453736842974898e-11,3.3306690738754696e-16,12.566370614359187
tri,2,dg,1,0.12,20,128,384,122,1.5707963267948934,0.51242850438151311,0.28900876001389042,0.95919001182161012,-0.19545773195615282,1.1670139196357703,-0.32279206970078095,1.6136549543856107,1.7763568394002505e-15,0,6.5260189540811055e-14,2.7755575615628914e-16,12.566370614359156
tri,2,ofdg,1,0.12,20,128,384,122,1.5707963267948934,0.62694903595839735,0.35359813500799731,1.2677184333481935,-0.056276731439256933,1.0425260279893254,-0.32279206970078095,1.6136549543856107,3.5527136788005009e-15,3.3306690738754696e-16,6.5260189540811055e-14,2.7755575615628914e-16,12.566370614359156
tri,3,dg,1,0.12,20,512,1536,277,1.5707963267948917,0.39539592496541931,0.22304255469236872,0.57771427284805332,-0.17783059442665983,1.1728324715340481,-0.60001104068529254,1.5851303380361392,3.5527136788005009e-15,0,1.2390276449324508e-13,1.6653345369377348e-16,12.566370614359121
tri,3,ofdg,1,0.12,20,512,1536,277,1.5707963267948917,0.48578637179917605,0.27403174023683041,0.77692906164952047,-0.044038010017808098,1.0268746079655351,-0.60001104068529254,1.5851303380361392,4.8849813083506888e-15,2.2204460492503131e-16,1.2390276449324508e-13,1.6653345369377348e-16,12.566370614359121
quad,1,dg,1,0.12,20,24,96,55,1.5707963267948963,0.66227388715195146,0.3739663623076403,1.5379787166481713,-0.29402621387555689,1.2400678470663449,-0.3320700471075167,1.0000000000000029,8.8817841970012523e-16,0,5.1311204524235068e-14,2.2204460492503131e-16,12.566370614359194
quad,1,ofdg,1,0.12,20,24,96,55,1.5707963267948963,0.89799155196805991,0.50706911534236254,2.3012432072658564,-0.031932253439884616,0.84697897455751325,-0.3320700471075167,1.0000000000000029,1.3322676295501878e-15,2.2204460492503131e-16,5.1311204524235068e-14,2.2204460492503131e-16,12.566370614359194
