dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,2,0,2,recursive,7.0505628934610572e-11,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,2,0,2,direct,2.1144745366471561e-09,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,2,0,2,fe_geometry,2.1144745366471561e-09,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,2,0,2,reused,-5.6653322699977118e-12,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,2,0,2,reused_centered,-1.8499480697979939e-12,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,1,1,2,recursive,1.0054549911845875e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,1,1,2,direct,-2.3453929093291843e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,1,1,2,fe_geometry,-2.3453929093291879e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,1,1,2,reused,-1.8326154410225005e-13,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,1,1,2,reused_centered,-7.0121711495243872e-13,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,0,2,2,recursive,-1.0235348361800043e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,0,2,2,direct,6.9691864444180536e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
3,32,0,10,0,0.23000000000000001,0.31,0.37,0.2071875,0.30968749999999995,0.16156249999999997,constant,0,0,2,2,fe_geometry,6.9691864444180495e-10,1.1102230246251565e-16,1.7763568394002505e-15,3.1554436208840472e-30,0.14839608399779536,0.012771875015459955,0
