n,p,curved,jump,method,cells,dofs,time_ms,time_q25_ms,time_q75_ms,slowdown,ratio_q25,ratio_q75,overhead_percent,direct_filter_share_percent,dg_ms,detector_ms,decay_ms,active_percent,filter_setup_ms,common_setup_ms,peak_mib,repetitions,trajectory_time,steps_per_trajectory,relative_iqr_percent,other_ms
32,2,True,False,ofdg,1024,9216,23.201133333333303,23.01626666666665,23.482333333333294,1.757038329214513,1.755214952893937,1.761302953199032,75.70383292145131,42.801822646812944,13.347466666666758,0.0,9.972266666666721,,268.2569999999993,23.121,102.0,5,0.005,5.0,2.0088099144581113,0.00020000000003165633
32,2,True,False,ofdg-kxrcf,1024,9216,23.578066666666654,23.4678666666665,25.29853333333332,1.783730759143812,1.7705317798906994,1.935603655162039,78.3730759143812,42.869966876693255,13.480600000000045,7.512333333333446,2.5483333333330194,0.390625,292.83799999999974,23.121,102.0,5,0.005,5.0,7.764278100268992,6.666666667320964e-05
64,2,False,False,dg,4096,36864,43.32088888888879,42.96911111111109,43.91388888888888,1.0,1.0,1.0,0.0,0.0,43.32088888888879,0.0,0.0,,0.0,32.652999999999984,102.796875,5,0.005,9.0,2.18088271503614,0.00011111111113280989
64,2,False,False,ofdg,4096,36864,64.04655555555561,63.41866666666668,64.49722222222223,1.4759129297014404,1.4583983092580464,1.501992392682485,47.59129297014404,31.502131874757755,43.777555555555345,0.0,19.944999999999677,,25.89000000000041,32.652999999999984,102.796875,5,0.005,9.0,1.6840180493703314,0.00033333333338300995
64,2,False,False,ofdg-kxrcf,4096,36864,59.867888888888785,59.50811111111114,60.198444444444455,1.3819635382468818,1.3551091150610424,1.3839372986279568,38.19635382468818,27.080924480012275,43.65511111111116,10.701888888888789,5.495333333333284,0.0,53.16799999999988,32.652999999999984,102.796875,5,0.005,9.0,1.1530944988130967,0.0002222222221607654
64,2,True,False,dg,4096,36864,52.72577777777778,52.65833333333348,52.73122222222229,1.0,1.0,1.0,0.0,0.0,52.72555555555572,0.0,0.0,,0.0009999999992515995,77.794,226.203125,5,0.005,9.0,0.13824146738245463,0.000222222222055911
64,2,True,False,ofdg,4096,36864,93.78177777777769,93.37833333333329,93.88944444444449,1.7779764108531266,1.749007443122908,1.7809484623094305,77.79764108531266,41.826976279293845,54.32055555555563,0.0,39.05733333333325,,1096.9670000000028,77.794,226.203125,5,0.005,9.0,0.545000450217864,0.00044444444440788154
64,2,True,False,ofdg-kxrcf,4096,36864,90.66399999999992,90.38833333333329,91.06144444444473,1.7157285661395314,1.7141330984594803,1.7195384083686647,71.57285661395314,41.2231097607592,53.26899999999983,27.865777777778234,9.501777777777399,0.3200954861111111,1197.689,77.794,226.203125,5,0.005,9.0,0.7424237967786986,0.00011111111121916058
128,2,False,False,dg,16384,147456,178.49282352941177,178.14411764705923,178.91805882352935,1.0,1.0,1.0,0.0,0.0,178.49252941176465,0.0,0.0,,0.0,128.64000000000001,261.3125,5,0.005,17.0,0.43359792352805077,0.00029411764709993466
128,2,False,False,ofdg,16384,147456,266.5939999999994,265.9476470588236,271.9968823529412,1.496507454308303,1.4903710876351242,1.51743487512658,49.6507454308303,30.968048590782576,183.84070588235267,0.0,83.65552941176236,,105.80199999999711,128.64000000000001,261.3125,5,0.005,17.0,2.269081560019224,0.0004117647061097074
128,2,False,False,ofdg-kxrcf,16384,147456,249.45594117647036,248.03335294117653,250.05011764705893,1.3935350964411655,1.392541985307619,1.4003041159669092,39.35350964411655,27.02891091009497,181.9687647058823,44.4857647058825,22.892058823529734,0.0,214.2160000000004,128.64000000000001,261.3125,5,0.005,17.0,0.80846529305778,0.00011764705894446546
128,2,True,False,dg,16384,147456,216.84752941176473,215.85941176470584,217.64947058823523,1.0,1.0,1.0,0.0,0.0,216.84711764705906,0.0,0.0,,0.0,305.137,710.171875,5,0.005,17.0,0.8254919151651057,0.00029411764678645994
128,2,True,False,ofdg,16384,147456,402.5177058823535,400.4769411764708,402.7895294117648,1.8562245416134102,1.8400087999024892,1.865980853551196,85.62245416134103,40.980981326214014,237.56147058823524,0.0,164.9557058823523,,4360.385999999991,305.137,710.171875,5,0.005,17.0,0.5745308098247809,0.0006470588244035432
128,2,True,False,ofdg-kxrcf,16384,147456,371.9210588235288,371.4806470588231,372.4247647058823,1.7151270288041882,1.7111218497308547,1.7323386013681952,71.51270288041883,41.719865735939685,216.8783529411756,116.75088235294177,39.37147058823598,0.3324620863970588,4762.546,305.137,710.171875,5,0.005,17.0,0.2538489350524208,0.00017647058776362582
16,1,False,False,dg,256,1024,2.0628114754098275,2.0626475409836105,2.063344262295082,1.0,1.0,1.0,0.0,0.0,2.062696721311468,0.0,0.0,,0.0,4.381999999999997,23.28125,5,0.005,2.0,0.03377532652774536,9.09090908970703e-05
16,1,False,False,ofdg,256,1024,3.072231707317063,3.070378048780501,3.102743902439026,1.496053502888554,1.4880590238321567,1.5041335281609247,49.6053502888554,32.67228478542986,2.0683658536585576,0.0,1.0083658536585425,,1.565999999999956,4.381999999999997,23.28125,5,0.005,2.0,1.0534965048840612,4.8780487811358e-05
16,1,False,False,ofdg-kxrcf,256,1024,3.0373809523809574,3.009119047619038,3.0383095238095312,1.4588624512087438,1.4574409301952622,1.4790825843617077,45.88624512087438,31.201678509926673,2.084000000000006,0.5575952380952506,0.3887499999999748,6.25,3.024999999999611,4.381999999999997,23.28125,5,0.005,2.0,0.9610409971001863,1.2195121953177983e-05
16,1,True,False,dg,256,1024,2.5342499999999912,2.5131099999999975,2.534779999999985,1.0,1.0,1.0,0.0,0.0,2.534099999999988,0.0,0.0,,0.0,4.061000000000002,32.328125,5,0.005,2.0,0.8550853309652756,8.999999999870223e-05
16,1,True,False,ofdg,256,1024,4.812673076923098,4.801314814814796,4.813788461538468,1.910507226032605,1.8935969150158884,1.9232613650860444,91.05072260326051,44.85345449356039,2.647685185185191,0.0,2.1535555555555277,,36.03999999999985,4.061000000000002,32.328125,5,0.005,2.0,0.25918333791429526,8.333333334411414e-05
16,1,True,False,ofdg-kxrcf,256,1024,5.170340000000042,5.1281799999999755,5.193780000000002,2.0401854592088626,2.0231262673683736,2.075560972685661,104.01854592088627,49.009929714487285,2.625939999999996,1.8656399999999707,0.6657916666666838,5.46875,41.11700000000007,4.061000000000002,32.328125,5,0.005,2.0,1.2687753610019068,2.000000000335067e-05
32,1,False,False,dg,1024,4096,8.212909090909065,8.201878787878792,8.23427272727272,1.0,1.0,1.0,0.0,0.0,8.212757575757553,0.0,0.0,,0.0,4.926,29.265625,5,0.005,3.0,0.39442710293462396,0.00012121212121560676
32,1,False,False,ofdg,1024,4096,12.288428571428575,12.261571428571438,12.3476666666667,1.4995455064015573,1.4949710603736661,1.5006795974330216,49.95455064015572,32.861648123615446,8.242238095238166,0.0,4.039380952380983,,5.963000000000385,4.926,29.265625,5,0.005,3.0,0.7006204055695137,9.52380952355471e-05
32,1,False,False,ofdg-kxrcf,1024,4096,12.020999999999985,12.012047619047602,12.023809523809534,1.4625813443306994,1.4568840928292008,1.4679563440749015,46.25813443306994,31.261471617780384,8.264380952380948,2.258142857142896,1.5011428571428305,7.291666666666667,11.78800000000013,4.926,29.265625,5,0.005,3.0,0.0978446448875539,0.0
32,1,True,False,dg,1024,4096,10.324740740740737,10.286962962962994,10.349592592592593,1.0,1.0,1.0,0.0,0.0,10.324592592592586,0.0,0.0,,0.0,15.47399999999999,50.5,5,0.005,3.0,0.6065976008721174,0.00011111111112458603
32,1,True,False,ofdg,1024,4096,18.88339999999993,18.76299999999992,18.89579999999998,1.823959128418553,1.8215752313228806,1.825753026599721,82.3959128418553,43.926877365026925,10.520933333333339,0.0,8.341399999999986,,143.6459999999999,15.47399999999999,50.5,5,0.005,3.0,0.7032631835371833,0.00013333333332051409
32,1,True,False,ofdg-kxrcf,1024,4096,20.244866666666628,20.154866666666685,20.37986666666658,1.9561027630359362,1.9520942145439961,1.9842072999228288,95.61027630359362,48.217617370152595,10.525666666666687,7.177399999999927,2.5779333333333083,6.0546875,164.44899999999978,15.47399999999999,50.5,5,0.005,3.0,1.1113928469104692,6.66666666098344e-05
64,1,False,False,dg,4096,16384,33.2881,33.24230000000004,33.297399999999925,1.0,1.0,1.0,0.0,0.0,33.28780000000005,0.0,0.0,,0.0,18.992000000000008,57.0,5,0.005,5.0,0.16552461690478654,0.00020000000001685336
64,1,False,False,ofdg,4096,16384,49.1476,49.112100000000005,49.403099999999974,1.477204801419041,1.4764315175693414,1.4773977733189323,47.72048014190411,32.912784852030335,32.971199999999996,0.0,16.237199999999863,,24.178999999999952,18.992000000000008,57.0,5,0.005,5.0,0.5920940188330018,0.00019999999985587102
64,1,False,False,ofdg-kxrcf,4096,16384,48.23300000000001,47.89819999999998,48.26470000000005,1.4485515385585699,1.4388985853803606,1.451906155711247,44.85515385585699,30.94671512393822,33.27070000000005,8.966200000000146,5.9276999999998905,7.8125,47.02700000000082,18.992000000000008,57.0,5,0.005,5.0,0.7598532125309765,6.2450045135165055e-15
64,1,True,False,dg,4096,16384,41.04120000000009,40.74919999999995,41.53209999999987,1.0,1.0,1.0,0.0,0.0,41.04100000000006,0.0,0.0,,0.0,48.28,144.046875,5,0.005,5.0,1.907595294484367,0.0001999999998503199
64,1,True,False,ofdg,4096,16384,73.9522000000001,73.91619999999995,74.02160000000002,1.8019015038546617,1.7963069529352078,1.8139300894250694,80.19015038546617,44.14252056156588,41.346199999999925,0.0,32.67500000000006,,579.4280000000001,48.28,144.046875,5,0.005,5.0,0.14252449555263258,0.00019999999986142214
