map,field,family,p,order,method,derivative,relative_l2,error_l2,face_relative_max
separable,represented_quadratic,quad,2.0,2,oracle_k2,xx,0.03860362957013884,0.7254813243677455,0.08855232589904243
separable,represented_quadratic,quad,3.0,1,recursive,x,0.00017257492861923895,0.0003470312031875473,0.0004955812715707681
separable,represented_quadratic,quad,3.0,1,physical_k,x,0.004490673089405848,0.009030301781418311,0.013230896577256793
separable,represented_quadratic,quad,3.0,1,physical_k1,x,0.0009445485691179571,0.0018993942459237295,0.0033930967942756283
separable,represented_quadratic,quad,3.0,1,physical_k2,x,0.00020448523052164603,0.0004111996809141298,0.0008646912809947789
separable,represented_quadratic,quad,3.0,1,oracle_k2,x,0.00020448523050774935,0.000411199680886185,0.0008646912809358025
separable,represented_quadratic,quad,3.0,2,recursive,xx,0.008305851682730526,0.15609258367380316,0.02149927577137489
separable,represented_quadratic,quad,3.0,2,physical_k,xx,0.1224429075428072,2.30108007233356,0.22819320972286739
separable,represented_quadratic,quad,3.0,2,physical_k1,xx,0.03860362957027928,0.7254813243703837,0.08855232589936027
separable,represented_quadratic,quad,3.0,2,physical_k2,xx,0.011638459424961906,0.21872256705501414,0.03166709863702733
separable,represented_quadratic,quad,3.0,2,oracle_k2,xx,0.01163845942449236,0.21872256704618992,0.03166709863596469
separable,represented_quadratic,quad,3.0,3,recursive,xxx,0.08464317115629104,52.51607952553407,0.15368047330858847
separable,represented_quadratic,quad,3.0,3,physical_k,xxx,0.5841770031190303,362.4472657828462,0.727121251951018
separable,represented_quadratic,quad,3.0,3,physical_k1,xxx,0.2805951204825924,174.0926699748939,0.42694197067447004
separable,represented_quadratic,quad,3.0,3,physical_k2,xxx,0.11923886805453866,73.98066248869978,0.21537659225384798
separable,represented_quadratic,quad,3.0,3,oracle_k2,xxx,0.11923886805228437,73.98066248730113,0.21537659225061703
separable,represented_quadratic,quad,4.0,1,recursive,x,1.9649521461502404e-05,3.9513254499961686e-05,6.238327685213077e-05
separable,represented_quadratic,quad,4.0,1,physical_k,x,0.0009445485691158506,0.0018993942459194933,0.003393096794264457
separable,represented_quadratic,quad,4.0,1,physical_k1,x,0.00020448523050853917,0.00041119968088777314,0.0008646912809386469
separable,represented_quadratic,quad,4.0,1,physical_k2,x,4.491914309318088e-05,9.032797752548134e-05,0.00021830866881015525
separable,represented_quadratic,quad,4.0,1,oracle_k2,x,4.491914309789186e-05,9.032797753495467e-05,0.0002183086688327891
separable,represented_quadratic,quad,4.0,2,recursive,xx,0.0013007891050529012,0.024445841315058562,0.004075681769301875
separable,represented_quadratic,quad,4.0,2,physical_k,xx,0.03860362957015644,0.7254813243680789,0.08855232589906203
separable,represented_quadratic,quad,4.0,2,physical_k1,xx,0.01163845942443137,0.21872256704504486,0.03166709863580443
separable,represented_quadratic,quad,4.0,2,physical_k2,xx,0.003388610337334342,0.06368244495841893,0.010659181066249033
separable,represented_quadratic,quad,4.0,2,oracle_k2,xx,0.003388610337646163,0.063682444964279,0.010659181067104189
separable,represented_quadratic,quad,4.0,3,recursive,xxx,0.019771477435009673,12.267031907359073,0.043657872521740165
separable,represented_quadratic,quad,4.0,3,physical_k,xxx,0.28059512048194035,174.0926699744905,0.4269419706735363
separable,represented_quadratic,quad,4.0,3,physical_k1,xxx,0.11923886805174959,73.98066248696982,0.21537659224976885
separable,represented_quadratic,quad,4.0,3,physical_k2,xxx,0.04644041864645328,28.813531978060638,0.09719489495588998
separable,represented_quadratic,quad,4.0,3,oracle_k2,xxx,0.04644041864912488,28.81353197971821,0.09719489496057843
separable,represented_quadratic,tri,2.0,1,recursive,x,0.0012214406234055404,0.002456196925903458,0.0027105287361098612
separable,represented_quadratic,tri,2.0,1,physical_k,x,0.018889122668526707,0.0379841673368387,0.037965839452381966
separable,represented_quadratic,tri,2.0,1,physical_k1,x,0.0035271119219650424,0.007092675070764868,0.008899792186809079
separable,represented_quadratic,tri,2.0,1,physical_k2,x,0.0007176565891366428,0.0014431367962669543,0.002165681385574974
separable,represented_quadratic,tri,2.0,1,oracle_k2,x,0.0007176565891612854,0.0014431367963165082,0.0021656813856546857
separable,represented_quadratic,tri,2.0,2,recursive,xx,0.04035105626457115,0.758320864240807,0.07540168639409789
separable,represented_quadratic,tri,2.0,2,physical_k,xx,0.33662060140302386,6.326139858731012,0.4564199229718139
separable,represented_quadratic,tri,2.0,2,physical_k1,xx,0.10539290799600878,1.9806579672254494,0.18066546435565864
separable,represented_quadratic,tri,2.0,2,physical_k2,xx,0.03162689733205895,0.5943669965130493,0.0654284142993735
separable,represented_quadratic,tri,2.0,2,oracle_k2,xx,0.031626897333226614,0.5943669965349931,0.06542841430191938
separable,represented_quadratic,tri,3.0,1,recursive,x,0.0001356344524734605,0.0002727475399361313,0.0003391683796234541
separable,represented_quadratic,tri,3.0,1,physical_k,x,0.0035271119219479406,0.007092675070730548,0.008899792186781733
separable,represented_quadratic,tri,3.0,1,physical_k1,x,0.0007176565891238765,0.001443136796241297,0.002165681385545049
separable,represented_quadratic,tri,3.0,1,physical_k2,x,0.00015182632277423326,0.0003053077981224856,0.0005319661334134795
separable,represented_quadratic,tri,3.0,1,oracle_k2,x,0.00015182632284714686,0.00030530779826910766,0.0005319661336499143
separable,represented_quadratic,tri,3.0,2,recursive,xx,0.006546252454377632,0.12302428432587516,0.015148913102357811
separable,represented_quadratic,tri,3.0,2,physical_k,xx,0.10539290799566302,1.980657967218887,0.1806654643554395
separable,represented_quadratic,tri,3.0,2,physical_k1,xx,0.03162689733166094,0.5943669965055501,0.06542841429886467
separable,represented_quadratic,tri,3.0,2,physical_k2,xx,0.0091810825561869,0.17254087261122197,0.02222111673282597
separable,represented_quadratic,tri,3.0,2,oracle_k2,xx,0.009181082559275144,0.1725408726692596,0.02222111673900016
separable,represented_quadratic,tri,3.0,3,recursive,xxx,0.07224350565567014,44.82282074724563,0.12398574118975701
separable,represented_quadratic,tri,3.0,3,physical_k,xxx,0.5523798069551555,342.7189869433726,0.6732734294457137
separable,represented_quadratic,tri,3.0,3,physical_k1,xxx,0.25184428742907,156.2544791978132,0.3683509184371643
separable,represented_quadratic,tri,3.0,3,physical_k2,xxx,0.10241173282782613,63.5404207104141,0.17532409009409744
separable,represented_quadratic,tri,3.0,3,oracle_k2,xxx,0.10241173283418514,63.54042071435949,0.17532409010278338
separable,represented_quadratic,tri,4.0,1,recursive,x,1.5296815251850237e-05,3.076039054027164e-05,4.2046560867637744e-05
separable,represented_quadratic,tri,4.0,1,physical_k,x,0.0007176565891382507,0.001443136796270172,0.0021656813855810875
separable,represented_quadratic,tri,4.0,1,physical_k1,x,0.00015182632280810146,0.0003053077981905848,0.0005319661335092167
separable,represented_quadratic,tri,4.0,1,physical_k2,x,3.278552591093014e-05,6.592846710143947e-05,0.00013067845626792325
separable,represented_quadratic,tri,4.0,1,oracle_k2,x,3.27855259413615e-05,6.592846716263396e-05,0.00013067845638153932
separable,represented_quadratic,tri,4.0,2,recursive,xx,0.0009967331749489846,0.018731692119505684,0.0027487581897751127
separable,represented_quadratic,tri,4.0,2,physical_k,xx,0.0316268973323666,0.5943669965188312,0.06542841430035222
separable,represented_quadratic,tri,4.0,2,physical_k1,xx,0.00918108255746952,0.17254087263533205,0.022221116735278046
separable,represented_quadratic,tri,4.0,2,physical_k2,xx,0.0025945253239254306,0.04875913713468941,0.007186352221048384
separable,represented_quadratic,tri,4.0,2,oracle_k2,xx,0.002594525324795607,0.04875913715104271,0.007186352222416106
separable,represented_quadratic,tri,4.0,3,recursive,xxx,0.016148947427627628,10.019466376053948,0.03326340347251384
separable,represented_quadratic,tri,4.0,3,physical_k,xxx,0.251844287426253,156.2544791960662,0.3683509184339252
separable,represented_quadratic,tri,4.0,3,physical_k1,xxx,0.10241173282270687,63.54042070723822,0.17532409008566602
separable,represented_quadratic,tri,4.0,3,physical_k2,xxx,0.03844812822282013,23.85478865896274,0.07545404856482633
separable,represented_quadratic,tri,4.0,3,oracle_k2,xxx,0.03844812822278077,23.854788658938322,0.07545404855994797
