family,n,p,amplitude,basis,map,extra,field,derivative,order,method,error_ratio,face_ratio,jump_ratio,relative_l2,error_l2
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,y,1,physical_k,1.405964727609413,1.373200688515094,5.605349815830778,0.009769450597107751,0.020786901672976303
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,y,1,physical_k1,0.9987830414118539,0.998987248295279,1.0921249281542487,0.0069401183320531015,0.014766803509904374
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,y,1,physical_k2,1.0003379305052886,1.0017811519506827,0.9784994443460245,0.006950922594694968,0.014789792227944666
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k,0.9593994524947081,0.9867757626996201,0.9964003399196207,0.1284527791410593,0.3622155932979489
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k1,0.994663824923086,0.9926819712452639,0.9946732931767998,0.13317428135925602,0.3755294486980229
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k2,1.0003143904910228,1.003045747851993,1.0031185677515744,0.13393082843569312,0.37766278633370437
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k,6.031182035448677,5.43295190656194,6.789161958491184,0.1281750132601211,0.5421485091771029
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k1,1.0348927081827612,1.0200042184100555,1.2208229723706145,0.021993596912592613,0.09302745889642168
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k2,1.024796807325153,1.036749727053419,0.9246321889978434,0.021779038270739157,0.09211992906784389
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k,1.0077422610435782,1.0172284220604795,0.9993116459011838,0.1282198569805253,0.8135072804847647
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k1,0.9980308316121724,0.9979972798862822,0.9962474489992467,0.1269842254694663,0.8056676583395336
quad,8.0,2.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k2,1.0007775572551667,1.0030844835524557,1.0033545617441313,0.12733370448084042,0.807884972621616
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,x,1,physical_k,1.7007535437722698,1.6529750130941478,3.2053725406581233,0.08361168024309139,0.4727928169193648
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,x,1,physical_k1,1.0070747061805838,1.0099718916721379,1.0478925908225367,0.04950935344065992,0.2799568984741239
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,x,1,physical_k2,1.0002712472652366,1.001331421414081,0.9943316809940185,0.04917488485556716,0.2780656035730134
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,y,1,physical_k,2.425058696958458,2.3207009528446623,4.926421162989452,0.08218963566754733,0.3485637645589013
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,y,1,physical_k1,1.0237483692070746,1.027617763079187,1.172384711037219,0.034696688202189345,0.14714760759375003
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,y,1,physical_k2,1.0001520132132935,1.0019663050993906,0.9926498449105436,0.03389696491934964,0.1437560052851626
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,xx,2,physical_k,1.1415731109597649,1.1418437822996124,1.1649076288009201,0.3653372383911143,16.53978475739584
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,xx,2,physical_k1,0.9983446434999367,1.000785268805402,0.9939323403199236,0.3194998826769699,14.464606216333717
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,xx,2,physical_k2,1.0008793514399308,1.0025799830893398,1.0037680980930939,0.32031106436129225,14.501330560440874
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,xy,2,physical_k,4.40848281264228,3.5335975595151217,6.119936131593946,0.36537869468315226,12.406246195182334
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,xy,2,physical_k1,1.2202236999136196,1.1990829591973435,1.9075965640401267,0.10113314753486875,3.4339241588766147
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,xy,2,physical_k2,0.998050375754642,0.9983798636392085,1.0150042502033105,0.08271923902606605,2.8086893389485583
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,yy,2,physical_k,1.2539128937430402,1.2476970740429882,1.3026476011398471,0.3650156879178487,9.295440364974608
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,yy,2,physical_k1,0.9907993605551775,0.9904475335956646,0.9944788018364407,0.28842299332454735,7.344941116446468
quad,8.0,2.0,1.2,gll,coupled,0.0,shortwave,yy,2,physical_k2,1.0010519731170497,1.003678915459712,1.0038570415958192,0.2914075422879571,7.42094523852674
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,x,1,physical_k,1.3494266113464881,1.229056130621397,13.282582132898048,0.0008850975403993042,0.00207367974391408
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,x,1,physical_k1,0.9734623060965545,0.9706886695027567,2.5952436607238716,0.0006385001492876757,0.001495930974417393
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,x,1,physical_k2,0.9996467282002464,1.0015322779539246,0.8917368667469313,0.0006556746791256708,0.0015361688838123634
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,y,1,physical_k,0.9585944846626702,0.9101187956884295,10.563972168757804,0.0008543596389591261,0.0010008322226994402
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,y,1,physical_k1,0.9880891998778195,0.9870501966396769,1.6733263830794654,0.0008806471824883223,0.0010316265386056628
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,y,1,physical_k2,1.0034104996495479,1.0067774987648364,1.6827910911450716,0.0008943024875738347,0.0010476229278510896
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,xx,2,physical_k,0.9111347410474661,0.8584932242770688,0.9042261212209182,0.038768340218108176,0.09082967486181445
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,xx,2,physical_k1,0.9726892023225946,0.9679148458699571,0.9986136773787887,0.04138745261625153,0.09696594807370684
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,xx,2,physical_k2,0.9993020855541004,1.0036359445407208,0.9931162880972269,0.04251981785799139,0.09961894704537834
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,xy,2,physical_k,3.6057263693041572,2.9188389008514326,5.102890245991736,0.038761419682961776,0.0454067304297604
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,xy,2,physical_k1,0.6038372731224887,0.5004659758860128,0.9506236672149855,0.006491227443926332,0.007604092345311744
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,xy,2,physical_k2,1.0524117904957344,1.0658697708462985,1.038616124052556,0.01131338623972588,0.013252968633158725
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,yy,2,physical_k,0.3927003919407975,0.39364677533269443,0.38715768716361987,0.038907172318343376,0.022788735548040475
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,yy,2,physical_k1,0.9880562812479543,0.9871866097578205,0.9946127375933935,0.09789263464888823,0.057337740837637034
quad,8.0,2.0,1.2,gll,coupled,0.0,exponential,yy,2,physical_k2,1.0007831057389285,1.0063767309213156,1.0043365041144179,0.09915355713253651,0.05807628921610379
