family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_fe_over_recursive,error_l2_fe_minus_direct,face_rms_fe_over_recursive,face_rms_fe_minus_direct,jump_rms_fe_over_recursive,jump_rms_fe_minus_direct,fe_operator_relative_l2
tri,4.0,3.0,1.2,gl,coupled,0.0,shortwave,xx,1.0043960008153718,5.861977570020827e-13,1.0077525270422139,1.8829382497642655e-12,1.0020090550615937,3.211653165635653e-12,6.069742265288329e-13
tri,4.0,3.0,1.2,gl,coupled,0.0,shortwave,xy,1.0082062202549016,1.7763568394002505e-13,1.012093855033438,4.334310688136611e-13,1.0029905864489932,2.1387336346379016e-12,5.761560390396238e-13
tri,4.0,3.0,1.2,gl,coupled,0.0,shortwave,yy,1.0052026729452144,2.616573624436569e-12,1.0109058178472523,4.0536463075113716e-12,0.9985231095457421,2.9132252166164108e-12,8.045075498679993e-13
tri,4.0,3.0,1.2,gl,coupled,0.0,shortwave,xxx,1.0140853072533473,2.700630830076989e-10,1.0253407448721226,4.877733772445936e-10,1.0236524152840685,5.192077878746204e-10,2.636347629541649e-12
tri,4.0,3.0,1.2,gl,coupled,0.0,shortwave,xxy,1.0074711330639925,-4.445155354915187e-11,1.0132399542642176,-5.718447937397286e-11,1.0115067464816152,-3.979039320256561e-12,2.250209401125e-12
tri,4.0,3.0,1.2,gl,coupled,0.0,shortwave,xyy,1.0248913340201644,4.058620106661692e-11,1.0362943582303836,6.80699940858176e-11,1.009326851228677,5.007905201637186e-11,3.338027220754524e-12
tri,4.0,3.0,1.2,gl,coupled,0.0,shortwave,yyy,1.0273571320149064,5.1301185521879233e-11,1.059358857599122,-9.350742402602918e-12,1.0366065722640938,-2.1032064978498966e-11,5.036822783101112e-12
tri,4.0,3.0,1.2,gl,coupled,0.0,exponential,x,1.0016382158790256,-8.403867879369642e-14,1.0003505190036186,-1.2312199870745388e-13,0.9923280589862025,-1.9278155460877855e-13,1.0556843284794405e-13
tri,4.0,3.0,1.2,gl,coupled,0.0,exponential,y,1.0013136795843425,-6.358065116063294e-14,0.9994015494013397,-1.4215798677108538e-13,0.994510940198062,-2.0169803327529934e-13,1.8617727644822022e-13
tri,4.0,3.0,1.2,gl,coupled,0.0,exponential,xx,1.0036443852758195,-9.346134977050724e-12,1.0017570861106995,-1.6021489690487556e-11,0.9750290957618729,-2.84549050988403e-11,5.5621977658526525e-12
tri,4.0,3.0,1.2,gl,coupled,0.0,exponential,xy,0.999521386725659,-1.1191048088221578e-12,0.9903484285379875,-9.85572734535367e-13,0.969776357852131,-5.1272597278995136e-12,7.917607715796887e-12
tri,4.0,3.0,1.2,gl,coupled,0.0,exponential,yy,1.0012275597944262,1.2570500196318335e-13,0.9950839649552735,-7.044920202758931e-13,0.9761241964112606,3.892636213365108e-12,1.7983051250018696e-11
tri,4.0,3.0,1.2,gl,coupled,0.0,exponential,xxx,1.034045595720852,3.028510775493487e-11,1.0544341775222204,2.8069990776202758e-11,0.9839432089388563,-1.6614709608120393e-11,6.36477703982352e-11
tri,4.0,3.0,1.2,gl,coupled,0.0,exponential,xxy,0.9986278559509673,-1.9159207553798296e-10,0.9877908193644144,-2.636753038132156e-10,0.9738197070844345,-4.033964273730817e-10,9.629873155688145e-11
tri,4.0,3.0,1.2,gl,coupled,0.0,exponential,xyy,0.980642826123472,-8.08251243711311e-11,0.9590925552409364,-1.0097522817886784e-10,0.9643862138249096,-3.0945024320772063e-10,1.3489113613121692e-10
tri,4.0,3.0,1.2,gl,coupled,0.0,exponential,yyy,1.065786048229872,1.8078560870549154e-10,1.0876402497159676,2.2430413082474843e-10,0.9841775005083149,3.700932893480058e-10,3.204122032020662e-10
tri,4.0,3.0,1.2,gl,coupled,0.0,constant,x,nan,-2.196188760135297e-27,nan,-5.073953342381548e-27,nan,-6.916732416977832e-27,nan
tri,4.0,3.0,1.2,gl,coupled,0.0,constant,y,nan,-9.592548607487504e-28,nan,-1.0602290566170399e-27,nan,-3.07971297398283e-27,nan
tri,4.0,3.0,1.2,gl,coupled,0.0,constant,xx,nan,-1.5428857128674637e-25,nan,-4.321695583162791e-25,nan,-8.287961996869203e-25,2.7597642446798994e-13
tri,4.0,3.0,1.2,gl,coupled,0.0,constant,xy,nan,-1.6398209409010217e-25,nan,-4.1359030627651384e-25,nan,-7.342843523542013e-25,2.5396441569516796e-13
tri,4.0,3.0,1.2,gl,coupled,0.0,constant,yy,nan,-5.896893038708107e-26,nan,-9.612743446661161e-26,nan,-1.4217166778255163e-25,2.1576762833629758e-13
tri,4.0,3.0,1.2,gl,coupled,0.0,constant,xxx,nan,6.139231108792002e-25,nan,5.040631857745012e-25,nan,4.6399662485396396e-24,1.1907498524231023e-12
tri,4.0,3.0,1.2,gl,coupled,0.0,constant,xxy,nan,-4.581805111719505e-24,nan,-1.1658076758169234e-23,nan,-2.003328046026864e-23,1.0969243045796542e-12
tri,4.0,3.0,1.2,gl,coupled,0.0,constant,xyy,nan,-6.701455431386638e-24,nan,-1.4973261556916915e-23,nan,-3.02825652376835e-23,9.67028943371046e-13
tri,4.0,3.0,1.2,gl,coupled,0.0,constant,yyy,nan,2.274746684520826e-24,nan,5.027707160673871e-24,nan,2.016252743098005e-24,1.0837181384667054e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,sine,x,1.002277617503054,-2.1845372732975932e-14,1.0031488627963792,-2.3862856135536958e-14,1.0014819689452108,-3.2737701438634303e-14,1.4654189560160723e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,sine,y,1.00222810586178,-1.177877240188252e-14,1.00331955019032,-3.3334446314370325e-14,1.0028782943910353,-3.216871213851391e-14,8.812628271812052e-14
tri,4.0,3.0,1.2,bernstein,coupled,0.0,sine,xx,1.0070370589811983,-3.1296076841158538e-12,1.012757677098553,-5.364042543476444e-12,0.9964416529252818,-8.26516632912444e-12,3.5753752855320026e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,sine,xy,1.008769093311273,2.1593837828959295e-14,1.0124448632232839,4.3931525084417444e-13,0.9845497257334289,-1.492250767398673e-12,1.8109786321215713e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,sine,yy,1.006017502271062,1.006528194125167e-12,1.0112819010774698,1.035393992765421e-12,0.9899138237953016,1.4381829060994278e-12,1.3498049475971538e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,sine,xxx,1.0522811817965898,7.94369015011398e-11,1.0964796518980826,1.0702549957386509e-10,1.0521241734371587,1.4623324773310742e-10,1.9777001718634947e-11
tri,4.0,3.0,1.2,bernstein,coupled,0.0,sine,xxy,1.0175968760135512,-7.858602657506708e-11,1.0285199745011735,-1.0900169655769787e-10,1.0328917124992902,-1.5335999137278122e-10,2.0974109789525852e-11
tri,4.0,3.0,1.2,bernstein,coupled,0.0,sine,xyy,1.0196221656567814,-3.895550548804749e-12,1.029436067621581,7.016609515630989e-13,1.0569179278524705,-5.0393467176945705e-11,1.721183790601463e-11
tri,4.0,3.0,1.2,bernstein,coupled,0.0,sine,yyy,1.0286851406692383,1.0378009562828083e-10,1.053215415329083,1.234621294088356e-10,1.0448220549454217,1.9683987773078115e-10,1.3849637430753743e-11
tri,4.0,3.0,1.2,bernstein,coupled,0.0,shortwave,x,1.0019158117538685,-1.965094753586527e-14,1.00287518607515,-2.90878432451791e-14,1.002182583787196,-6.394884621840902e-14,9.914172625675851e-14
tri,4.0,3.0,1.2,bernstein,coupled,0.0,shortwave,y,1.0021922721038317,2.3647750424515834e-14,1.0026650296243043,3.907985046680551e-14,1.0000881087026492,4.1744385725905886e-14,1.190865882598688e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,shortwave,xx,1.0043960008153756,6.536993168992922e-13,1.0077525270422165,1.8900436771218665e-12,1.0020090550615741,3.247180302423658e-12,6.069699806038976e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,shortwave,xy,1.0082062202548536,2.753353101070388e-13,1.0120938550333822,4.369837824924616e-13,1.002990586448933,2.1245227799226996e-12,5.761535984631356e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,shortwave,yy,1.0052026729451924,2.652100761224574e-12,1.0109058178472177,4.04298816647497e-12,0.9985231095457031,2.9345414986892138e-12,8.045099102496644e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,shortwave,xxx,1.0140853072533549,2.6943780540023e-10,1.0253407448721368,4.890807758783922e-10,1.0236524152840534,5.191509444557596e-10,2.6363553045905765e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,shortwave,xxy,1.0074711330639547,-4.516209628491197e-11,1.013239954264175,-5.729816621169448e-11,1.0115067464815715,-3.979039320256561e-12,2.250205533962233e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,shortwave,xyy,1.0248913340200658,4.0188297134591267e-11,1.0362943582302802,6.824052434240002e-11,1.0093268512285984,5.0249582272954285e-11,3.3380288688663772e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,shortwave,yyy,1.0273571320147086,5.218225851422176e-11,1.0593588575989477,-9.43600753089413e-12,1.0366065722639461,-2.12878603633726e-11,5.03682233777156e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,exponential,x,1.001638215890055,-8.403911247456541e-14,1.0003505190151785,-1.2307342645012653e-13,0.9923280589989395,-1.9277981988530257e-13,1.0556456617310225e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,exponential,y,1.0013136795813982,-6.362185084318739e-14,0.9994015494009045,-1.4217706872932112e-13,0.9945109401958202,-2.0167548187011164e-13,1.8617938621565207e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,exponential,xx,1.0036443852853483,-9.346634577411805e-12,1.0017570861233602,-1.6021683979516865e-11,0.9750290957743668,-2.8454794076537837e-11,5.562197988532857e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,exponential,xy,0.9995213867369742,-1.1188272530660015e-12,0.990348428548306,-9.856282456865983e-13,0.9697763578597093,-5.1273429946263605e-12,7.917610630768712e-12
tri,4.0,3.0,1.2,bernstein,coupled,0.0,exponential,yy,1.0012275597883162,1.2544132399483487e-13,0.9950839649510048,-7.046585537295869e-13,0.9761241964105875,3.8926917245163395e-12,1.7983054818173857e-11
tri,4.0,3.0,1.2,bernstein,coupled,0.0,exponential,xxx,1.0340455957048882,3.029176909308262e-11,1.0544341775036434,2.8070434865412608e-11,0.9839432089292524,-1.6613821429700693e-11,6.36477929505657e-11
tri,4.0,3.0,1.2,bernstein,coupled,0.0,exponential,xxy,0.9986278559677433,-1.9158807873509431e-10,0.9877908193819542,-2.636779683484747e-10,0.9738197070936102,-4.033982037299211e-10,9.629872707119912e-11
tri,4.0,3.0,1.2,bernstein,coupled,0.0,exponential,xyy,0.9806428261395755,-8.082112756824245e-11,0.9590925552552635,-1.0097434000044814e-10,0.9643862138460227,-3.0945201956456003e-10,1.3489113262360564e-10
tri,4.0,3.0,1.2,bernstein,coupled,0.0,exponential,yyy,1.0657860482406443,1.8078627483930632e-10,1.0876402497135516,2.243021324233041e-10,0.9841775004965184,3.700943995710304e-10,3.204122035859832e-10
tri,4.0,3.0,1.2,bernstein,coupled,0.0,constant,x,nan,-3.937993638863291e-27,nan,-1.4944180988506848e-26,nan,4.2409162264681595e-27,nan
tri,4.0,3.0,1.2,bernstein,coupled,0.0,constant,y,nan,1.3126645462877636e-27,nan,6.058451752097371e-27,nan,8.683780844672898e-27,nan
tri,4.0,3.0,1.2,bernstein,coupled,0.0,constant,xx,nan,-5.492996255234949e-25,nan,-1.7448341046040428e-24,nan,-5.5317703464483726e-24,3.125363644697216e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,constant,xy,nan,-2.100263274060422e-25,nan,-8.465676581597393e-25,nan,-2.678643467993984e-24,2.6853020559676676e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,constant,yy,nan,-2.8757450983288853e-25,nan,-7.076271646449729e-25,nan,-1.247233267365112e-24,2.0549693237753631e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,constant,xxx,nan,-1.2976395859425622e-23,nan,-4.0893741533090306e-23,nan,1.0081263715490025e-23,9.17614343039696e-13
tri,4.0,3.0,1.2,bernstein,coupled,0.0,constant,xxy,nan,-1.6052473762357193e-23,nan,-4.2056964269493e-23,nan,-7.540268271303693e-23,1.0959452114876707e-12
