dimension,n,curved,field,order,method,max_scaled_error,max_absolute_error,max_nonzero_relative_error
2.0,32.0,0.0,constant,1.0,fe_geometry,6.736075874868351e-13,6.736075874868351e-13,nan
2.0,32.0,0.0,constant,2.0,recursive,3.0770878879004415e-10,3.0770878879004415e-10,nan
2.0,32.0,0.0,constant,2.0,direct,2.5846247808658513e-10,2.5846247808658513e-10,nan
2.0,32.0,0.0,constant,2.0,fe_geometry,2.584624780865547e-10,2.584624780865547e-10,nan
2.0,32.0,0.0,constant,3.0,recursive,8.996760018662402e-08,8.996760018662402e-08,nan
2.0,32.0,0.0,constant,3.0,direct,9.605658124201e-08,9.605658124201e-08,nan
2.0,32.0,0.0,constant,3.0,fe_geometry,9.605658124197544e-08,9.605658124197544e-08,nan
2.0,32.0,0.0,constant,4.0,recursive,1.886978094348891e-05,1.886978094348891e-05,nan
2.0,32.0,0.0,constant,4.0,direct,1.969148777425289e-05,1.969148777425289e-05,nan
2.0,32.0,0.0,constant,4.0,fe_geometry,1.9691487774233227e-05,1.9691487774233227e-05,nan
2.0,32.0,0.0,constant,5.0,recursive,0.0037541072680107933,0.0037541072680107933,nan
2.0,32.0,0.0,constant,5.0,direct,0.004482078552246093,0.004482078552246093,nan
2.0,32.0,0.0,constant,5.0,fe_geometry,0.0044820785522434676,0.0044820785522434676,nan
2.0,32.0,0.0,constant,6.0,recursive,0.6063796482714456,0.6063796482714456,nan
2.0,32.0,0.0,constant,6.0,direct,0.9781677246093751,0.9781677246093751,nan
2.0,32.0,0.0,constant,6.0,fe_geometry,0.9781677246078335,0.9781677246078335,nan
2.0,32.0,0.0,constant,7.0,recursive,168.20600438587851,168.20600438587851,nan
2.0,32.0,0.0,constant,7.0,direct,126.22500000000001,126.22500000000001,nan
2.0,32.0,0.0,constant,7.0,fe_geometry,126.22499999940038,126.22499999940038,nan
2.0,32.0,0.0,constant,8.0,recursive,47543.95268924466,47543.95268924466,nan
2.0,32.0,0.0,constant,8.0,direct,21240.0,21240.0,nan
2.0,32.0,0.0,constant,8.0,fe_geometry,21239.999999891243,21239.999999891243,nan
2.0,32.0,0.0,constant,9.0,recursive,7253780.297056687,7253780.297056687,nan
2.0,32.0,0.0,constant,9.0,direct,3064320.0,3064320.0,nan
2.0,32.0,0.0,constant,9.0,fe_geometry,3064319.999957525,3064319.999957525,nan
2.0,32.0,0.0,constant,10.0,recursive,1079933094.7561584,1079933094.7561584,nan
2.0,32.0,0.0,constant,10.0,direct,202752000.0,202752000.0,nan
2.0,32.0,0.0,constant,10.0,fe_geometry,202751999.9998011,202751999.9998011,nan
2.0,32.0,0.0,quintic,1.0,recursive,2.1649348980190553e-15,2.1649348980190553e-15,4.4223243622506577e-14
2.0,32.0,0.0,quintic,1.0,direct,9.131584377541913e-15,9.131584377541913e-15,1.9403100935016005e-13
2.0,32.0,0.0,quintic,1.0,fe_geometry,2.914335439641036e-14,2.914335439641036e-14,6.192479021813618e-13
