dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds,reference,absolute_error,scaled_error,relative_error
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,1.0,0.0,2.0,direct,1.4572362132244045e-13,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.4572362132244045e-13,1.4572362132244045e-13,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,1.0,0.0,2.0,fe_geometry,1.4572362132244007e-13,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.4572362132244007e-13,1.4572362132244007e-13,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,2.0,0.0,2.0,recursive,1.882003633038856e-13,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.882003633038856e-13,1.882003633038856e-13,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,2.0,0.0,2.0,direct,1.8771260957354562e-13,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.8771260957354562e-13,1.8771260957354562e-13,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,2.0,0.0,2.0,fe_geometry,1.8771260957354173e-13,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.8771260957354173e-13,1.8771260957354173e-13,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,3.0,0.0,0.0,3.0,recursive,3.5663294939268318e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.5663294939268318e-12,3.5663294939268318e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,3.0,0.0,0.0,3.0,direct,2.4073558372292615e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.4073558372292615e-12,2.4073558372292615e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,3.0,0.0,0.0,3.0,fe_geometry,2.4073558372295042e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.4073558372295042e-12,2.4073558372295042e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,1.0,0.0,3.0,recursive,-1.6246403734513326e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.6246403734513326e-12,1.6246403734513326e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,1.0,0.0,3.0,direct,2.0540354288277744e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.0540354288277744e-12,2.0540354288277744e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,1.0,0.0,3.0,fe_geometry,2.0540354288278273e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.0540354288278273e-12,2.0540354288278273e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,2.0,0.0,3.0,recursive,7.127440858433388e-13,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,7.127440858433388e-13,7.127440858433388e-13,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,2.0,0.0,3.0,direct,3.429263092302789e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.429263092302789e-12,3.429263092302789e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,2.0,0.0,3.0,fe_geometry,3.429263092302781e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.429263092302781e-12,3.429263092302781e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,3.0,0.0,3.0,recursive,-3.832465343081248e-13,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.832465343081248e-13,3.832465343081248e-13,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,3.0,0.0,3.0,direct,3.698185892108087e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.698185892108087e-12,3.698185892108087e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,3.0,0.0,3.0,fe_geometry,3.6981858921080076e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.6981858921080076e-12,3.6981858921080076e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,4.0,0.0,0.0,4.0,recursive,-1.2347027701668112e-10,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.2347027701668112e-10,1.2347027701668112e-10,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,4.0,0.0,0.0,4.0,direct,-7.241998326426255e-11,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,7.241998326426255e-11,7.241998326426255e-11,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,4.0,0.0,0.0,4.0,fe_geometry,-7.241998326426491e-11,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,7.241998326426491e-11,7.241998326426491e-11,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,3.0,1.0,0.0,4.0,recursive,1.6648384931381013e-11,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.6648384931381013e-11,1.6648384931381013e-11,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,3.0,1.0,0.0,4.0,direct,-7.184139917080757e-11,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,7.184139917080757e-11,7.184139917080757e-11,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,3.0,1.0,0.0,4.0,fe_geometry,-7.184139917080617e-11,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,7.184139917080617e-11,7.184139917080617e-11,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,2.0,0.0,4.0,recursive,6.045704362124459e-11,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,6.045704362124459e-11,6.045704362124459e-11,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,2.0,0.0,4.0,direct,1.5220094828691803e-11,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.5220094828691803e-11,1.5220094828691803e-11,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,2.0,0.0,4.0,fe_geometry,1.522009482869322e-11,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.522009482869322e-11,1.522009482869322e-11,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,3.0,0.0,4.0,recursive,4.343234127711111e-12,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,4.343234127711111e-12,4.343234127711111e-12,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,3.0,0.0,4.0,direct,-4.8422781268527605e-11,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,4.8422781268527605e-11,4.8422781268527605e-11,nan
