rank,element,sample,x,y,value
0,45,polynomial,3.5735616434583894,0,1.3093761109784545
0,45,polynomial,3.6039799835281912,0,1.2483440595302624
0,45,center,3.5735616434583894,0,1.3093761109784545
0,46,polynomial,3.6216831197283321,0,1.2065661093880184
0,46,polynomial,3.6521014597981343,0,0.8246801296200803
0,46,polynomial,3.6825197998679364,0,0.19640865738881019
0,46,center,3.6521014597981343,0,0.8246801296200803
0,47,polynomial,3.7002229360680774,0,-0.17362481710914685
0,47,polynomial,3.7306412761378791,0,-0.2592937644142721
0,47,polynomial,3.7610596162076813,0,-0.30769316447463441
0,47,center,3.7306412761378791,0,-0.2592937644142721
0,48,polynomial,3.7787627524078222,0,-0.33581672980611349
0,48,polynomial,3.8091810924776244,0,-0.37110414839084394
0,48,polynomial,3.8395994325474265,0,-0.39843681988039437
0,48,center,3.8091810924776244,0,-0.37110414839084394
0,49,polynomial,3.8573025687475671,0,-0.41207476479375654
0,49,polynomial,3.8877209088173692,0,-0.43196768937386532
0,49,polynomial,3.9181392488871714,0,-0.44797780524861591
0,49,center,3.8877209088173692,0,-0.43196768937386532
0,50,polynomial,3.9358423850873119,0,-0.45597726836691016
0,50,polynomial,3.9662607251571136,0,-0.46766424206866114
0,50,polynomial,3.9966790652269153,0,-0.47698513325282377
0,50,center,3.9662607251571136,0,-0.46766424206866114
0,51,polynomial,4.0143822014270558,0,-0.4815404488557955
0,51,polynomial,4.0448005414968584,0,-0.48799486471925962
0,51,polynomial,4.075218881566661,0,-0.49283396845456817
0,51,center,4.0448005414968584,0,-0.48799486471925962
0,52,polynomial,4.092922017766802,0,-0.4950287762518964
0,52,polynomial,4.1233403578366037,0,-0.49780869994929128
0,52,polynomial,4.1537586979064054,0,-0.49940572442869374
0,52,center,4.1233403578366037,0,-0.49780869994929128
0,53,polynomial,4.1714618341065455,0,-0.49986614784966621
0,53,polynomial,4.2018801741763481,0,-0.49990298242982312
0,53,polynomial,4.2322985142461507,0,-0.49903133667382532
0,53,center,4.2018801741763481,0,-0.49990298242982312
0,54,polynomial,4.2500016504462907,0,-0.49815614607585507
0,54,polynomial,4.2804199905160925,0,-0.49605673653505272
0,54,polynomial,4.3108383305858951,0,-0.49323520569789564
0,54,center,4.2804199905160925,0,-0.49605673653505272
0,55,polynomial,4.328541466786036,0,-0.49129608627787669
0,55,polynomial,4.3589598068558377,0,-0.48748071528772868
0,55,polynomial,4.3893781469256403,0,-0.48307628623822246
0,55,center,4.3589598068558377,0,-0.48748071528772868
