dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,4,0,4,fe_geometry,-9.9827909537995021e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,5,0,0,5,recursive,2.0859650720499704e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,5,0,0,5,direct,5.6072525869240061e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,5,0,0,5,fe_geometry,5.6072525869222142e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,4,1,0,5,recursive,1.1219495919534115e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,4,1,0,5,direct,1.1007149405486417e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,4,1,0,5,fe_geometry,1.1007149405485664e-09,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,2,0,5,recursive,-7.1603714480929376e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,2,0,5,direct,-7.0181518531171652e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,2,0,5,fe_geometry,-7.0181518531176139e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,3,0,5,recursive,2.6849582905227853e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,3,0,5,direct,-3.2288309448631496e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,3,0,5,fe_geometry,-3.228830944863253e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
