family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xxy,direct,3.2287908737342254e-10,4.6984033984815282e-11,7.1500494414067362e-09,6.87210228644423,5.5929050460886746e-10,4.2789229937573929e-11,7.7991049343487727e-10,2.8704783530628159e-10,7.183415342416544e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xyy,recursive,0.032729983778618958,0.015558526515243283,2.950098198351867,2.1036686055425715,0.10068345083478372,0.03373354658795856,0.09453765576222159,0.027963149258095479,7.183415342416544e-15,0.032729983777101762,0.015558526514416582,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xyy,direct,1.547329928564425e-10,7.355388222687018e-11,2.1067485533876606e-09,2.1036686055425715,2.2451273652850116e-10,7.5222003164176003e-11,2.8979788429538657e-10,1.3051393606876647e-10,7.183415342416544e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,yyy,recursive,2.7327545110174167,0.052319871666832961,53.825401432158969,52.231674580918117,6.7355507332954261,0.090462972929981039,1.9525669677181074,0.71484972261417778,7.183415342416544e-15,2.732754510993626,0.052319871666413678,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,yyy,direct,1.8331055770875194e-10,3.5095669281053667e-12,2.6278712539351545e-09,52.231674580918117,2.6524909116777432e-10,3.5624735532609628e-12,4.1420906246375555e-10,1.5784947056476699e-10,7.183415342416544e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,constant,x,recursive,2.252618620526772e-13,nan,2.7102306140951013e-12,0,4.6593163176258081e-13,nan,5.955907092619714e-13,4.1342213960886001e-13,4.5622533187650703e-15,6.8294427418666326e-14,nan,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,constant,x,direct,2.1570239704866968e-13,nan,2.7605966573686908e-12,0,4.4312755112252842e-13,nan,5.7910139620561532e-13,3.9278644466887195e-13,4.5622533187650703e-15,0,nan,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,constant,y,recursive,2.2093837833000005e-13,nan,2.0070591213115492e-12,0,4.074108191547127e-13,nan,5.7714275543270343e-13,3.8023949781790943e-13,4.5622533187650703e-15,4.901540218042536e-14,nan,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,constant,y,direct,2.1469070773782233e-13,nan,1.7768914567742303e-12,0,3.9711923664741801e-13,nan,5.7101727890895201e-13,3.6815703112614714e-13,4.5622533187650703e-15,0,nan,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,constant,xx,recursive,1.1296586815464326e-11,nan,1.7619346298391687e-10,0,2.2731258866098857e-11,nan,2.489325794356225e-11,1.4357562836700777e-11,4.5622533187650703e-15,5.266507447157482e-12,0.51821876292482483,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,constant,xx,direct,1.0162710854839244e-11,nan,1.629876764030299e-10,0,2.1698773619640101e-11,nan,1.9085199296518836e-11,1.0913798092453762e-11,4.5622533187650703e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,constant,xy,recursive,6.143424983049035e-12,nan,8.0505984995996411e-11,0,1.0745288970941591e-11,nan,1.4327140127504412e-11,9.0517086428273097e-12,4.5622533187650703e-15,3.0267522468063008e-12,0.53958547452500794,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,constant,xy,direct,5.6094027539765083e-12,nan,9.9417360592502576e-11,0,9.8207420257555446e-12,nan,1.2428593514826744e-11,7.2263678039680476e-12,4.5622533187650703e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,constant,yy,recursive,9.395820080776856e-12,nan,9.3030310862827766e-11,0,1.4919053450236018e-11,nan,1.773391071549198e-11,1.1175981284041829e-11,4.5622533187650703e-15,3.003541843774189e-12,0.31877857321287828,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
