dimension,n,curved,field,method,order,max_absolute_error,max_scaled_error,max_element_scaled_error,discrete_relative_l2
2,2,0,constant,fe_geometry,7,4.7022476792301987e-07,4.7022476792301987e-07,3.6736309993985927e-09,nan
2,2,0,constant,reused,7,6.406891676599187e-08,6.406891676599187e-08,5.005384122343115e-10,nan
2,2,0,constant,reused_centered,7,1.083237420614803e-07,1.083237420614803e-07,8.462792348553148e-10,nan
2,2,0,constant,recursive,8,4.140537948142289e-05,4.140537948142289e-05,1.6173976359930816e-07,nan
2,2,0,constant,direct,8,4.945322871208191e-06,4.945322871208191e-06,1.9317667465656996e-08,nan
2,2,0,constant,fe_geometry,8,4.945322871205614e-06,4.945322871205614e-06,1.931766746564693e-08,nan
2,2,0,constant,reused,8,8.381358691873589e-07,8.381358691873589e-07,3.2739682390131206e-09,nan
2,2,0,constant,reused_centered,8,1.2274260256083174e-06,1.2274260256083174e-06,4.79463291253249e-09,nan
2,2,0,constant,recursive,9,0.0007169388569096389,0.0007169388569096389,1.4002712049016385e-06,nan
2,2,0,constant,direct,9,4.459172487258911e-05,4.459172487258911e-05,8.709321264177561e-08,nan
2,2,0,constant,fe_geometry,9,4.459172487251328e-05,4.459172487251328e-05,8.70932126416275e-08,nan
2,2,0,constant,reused,9,9.496992619146553e-06,9.496992619146553e-06,1.854881370927061e-08,nan
2,2,0,constant,reused_centered,9,9.451552373719786e-06,9.451552373719786e-06,1.8460063229921457e-08,nan
2,2,0,constant,recursive,10,0.00675238400188068,0.00675238400188068,6.594125001836601e-06,nan
2,2,0,constant,direct,10,0.00018440186977386475,0.00018440186977386475,1.800799509510398e-07,nan
2,2,0,constant,fe_geometry,10,0.00018440186977383883,0.00018440186977383883,1.8007995095101449e-07,nan
2,2,0,constant,reused,10,7.563799443975756e-05,7.563799443975756e-05,7.386522894507574e-08,nan
2,2,0,constant,reused_centered,10,3.278911248081391e-05,3.278911248081391e-05,3.202061765704483e-08,nan
2,2,0,quintic,recursive,1,3.4416913763379853e-15,3.4416913763379853e-15,1.7208456881689926e-15,4.578870499492323e-15
2,2,0,quintic,direct,1,2.921274333544943e-14,2.921274333544943e-14,1.4606371667724716e-14,3.142570124348996e-14
2,2,0,quintic,fe_geometry,1,3.973210649377279e-14,3.973210649377279e-14,1.9866053246886395e-14,4.1102624718206557e-14
2,2,0,quintic,reused,1,2.4424906541753444e-15,2.4424906541753444e-15,1.2212453270876722e-15,3.111316514205987e-15
2,2,0,quintic,reused_centered,1,1.887379141862766e-15,1.887379141862766e-15,9.43689570931383e-16,2.406625732265068e-15
2,2,0,quintic,recursive,2,1.0269562977782698e-13,1.0269562977782698e-13,2.5673907444456745e-14,2.038808121053447e-14
2,2,0,quintic,direct,2,3.1175062531474396e-13,3.1175062531474396e-13,7.793765632868599e-14,6.789060315720062e-14
2,2,0,quintic,fe_geometry,2,4.390932062392494e-13,4.390932062392494e-13,1.0977330155981235e-13,9.277440312710791e-14
2,2,0,quintic,reused,2,2.220446049250313e-14,1.8540724511240114e-14,5.551115123125783e-15,6.832252836849588e-15
2,2,0,quintic,reused_centered,2,2.0872192862952943e-14,1.4210854715202004e-14,5.218048215738236e-15,4.58416117762471e-15
2,2,0,quintic,recursive,3,2.3527846337856317e-12,9.803269307440128e-13,2.9409807922320397e-13,9.170917699508866e-14
2,2,0,quintic,direct,3,5.0670578843892145e-12,2.533528942194607e-12,6.333822355486518e-13,2.2002423045809366e-13
2,2,0,quintic,fe_geometry,3,6.084466264155708e-12,3.042233132077853e-12,7.605582830194635e-13,2.5709495506429354e-13
2,2,0,quintic,reused,3,3.1086244689504383e-13,9.314771176605063e-14,3.885780586188048e-14,1.6445806511030055e-14
2,2,0,quintic,reused_centered,3,2.7755575615628914e-13,2.738920201750261e-13,3.469446951953614e-14,1.4669682221196884e-14
2,2,0,quintic,recursive,4,3.5079494864476146e-11,1.684906324980711e-11,2.192468429029759e-12,3.4059068681166154e-13
2,2,0,quintic,direct,4,6.643509226051949e-11,6.643509226051949e-11,4.152193266282468e-12,6.787520489497954e-13
