dimension,n,dx,dy,dz,order,method,value,stored_reference,ideal_reference,representation_error,total_error,element_scaled_error,absolute_error,scaled_error,relative_error,step_sensitivity
2,8,3,2,0,5,recursive,5.4801455967002947744504126603715121746063232421875,5.48010212718317370091355347521134917705559203748011082084130955967161434112,5.48010212726616602645235096794361201090591991598010225398560430189078566818810127058725314,8.299232553879749273226283385032787849999143314429474221917132706810127058725314E-11,0.00004346943412874799806169242790016370040332620739774601439569810921433181189872941274686,1.32658438479838674497025024911491548862319053311703975495728541216E-9,0.00004346951712107353685918516016299755073120470738917915869044032838565888,0.00000793224580714471017706536373844646225508545223842860809402889190779008010692999563936940585,0.00000793224580714471017706536373844646225508545223842860809402889190779008010692999563936940585,1.35313237458039844441995830138175598814323627026007091782012628240710277220094331002373323E-18
2,8,3,2,0,5,direct,5.4801021228366462167969075380824506282806396484375,5.48010212718317370091355347521134917705559203748011082084130955967161434112,5.48010212726616602645235096794361201090591991598010225398560430189078566818810127058725314,8.299232553879749273226283385032787849999143314429474221917132706810127058725314E-11,4.42951980965544342986116138262528026754260225398560430189078566818810127058725314E-9,1.3264549206898943899929499965743873257576326967899504271458784E-13,4.34652748411664593712889854877495238904261082084130955967161434112E-9,7.93147168290238368206248314146256320501308789204695529664790327439025538825177913808782886E-10,7.93147168290238368206248314146256320501308789204695529664790327439025538825177913808782886E-10,1.35313237458039844441995830138175598814323627026007091782012628240710277220094331002373323E-18
2,8,3,2,0,5,fe_geometry,5.480102123012944304036864195950329303741455078125,5.48010212718317370091355347521134917705559203748011082084130955967161434112,5.48010212726616602645235096794361201090591991598010225398560430189078566818810127058725314,8.299232553879749273226283385032787849999143314429474221917132706810127058725314E-11,4.25322172241548677199328270716446483785510225398560430189078566818810127058725314E-9,1.2726530141835599607119811625104177732406954409305754271458784E-13,4.17022939687668927926101987331413695935511082084130955967161434112E-9,7.60976584029507518346980847991427354448947644239015336619525182226431250355443833752583496E-10,7.60976584029507518346980847991427354448947644239015336619525182226431250355443833752583496E-10,1.35313237458039844441995830138175598814323627026007091782012628240710277220094331002373323E-18
2,8,3,2,0,5,reused,5.48010212720344913606140835327096283435821533203125,5.48010212718317370091355347521134917705559203748011082084130955967161434112,5.48010212726616602645235096794361201090591991598010225398560430189078566818810127058725314,8.299232553879749273226283385032787849999143314429474221917132706810127058725314E-11,6.271689039094261467264917654770458394885225398560430189078566818810127058725314E-11,6.1875717614303216734660819404978315890927670772370728541216E-16,2.027543514785487805961365730262329455113917915869044032838565888E-11,3.69982797351199197404336494685209789227446872148269518366274139314301330934802916656631800E-12,3.69982797351199197404336494685209789227446872148269518366274139314301330934802916656631800E-12,1.35313237458039844441995830138175598814323627026007091782012628240710277220094331002373323E-18
2,8,3,2,0,5,reused_centered,5.4801021273941277200947297387756407260894775390625,5.48010212718317370091355347521134917705559203748011082084130955967161434112,5.48010212726616602645235096794361201090591991598010225398560430189078566818810127058725314,8.299232553879749273226283385032787849999143314429474221917132706810127058725314E-11,1.2796169364237877083202871518355762308239774601439569810921433181189872941274686E-10,6.43780576114429515271885830791886906684537289912995728541216E-15,2.1095401918117626356429154903388550158238917915869044032838565888E-10,3.84945415770214305567553661733347954899406571551736492876797278006203416926989666098399989E-11,3.84945415770214305567553661733347954899406571551736492876797278006203416926989666098399989E-11,1.35313237458039844441995830138175598814323627026007091782012628240710277220094331002373323E-18
2,32,1,0,0,1,recursive,0.0347211727950286486166220356608391739428043365478515625,0.03472117279731156980081826815626628583106694942373353771884713875217257623345716247103616,0.0347211727973115740121876864980591401066821763255434326654231581905432530168396594103842318,4.2113694183417928542756152269018098949465760194383706767833824969393480718E-18,2.2829253955656508372199661638778397776918701654231581905432530168396594103842318E-12,7.134128700613226548209724650820665237131172558897308600539300729553632721988E-14,2.28292118419623249542711188826261287588197521884713875217257623345716247103616E-12,2.28292118419623249542711188826261287588197521884713875217257623345716247103616E-12,6.57501172994074985962046829921087502154499693635107863643643664679797475441535022976786954E-11,2.8035156232373383322710710967976482924304327626619864036609057887360E-22
2,32,1,0,0,1,direct,0.03472117279730994876540961513455840758979320526123046875,0.03472117279731156980081826815626628583106694942373353771884713875217257623345716247103616,0.0347211727973115740121876864980591401066821763255434326654231581905432530168396594103842318,4.2113694183417928542756152269018098949465760194383706767833824969393480718E-18,1.6252467780713635007325168889710643129639154231581905432530168396594103842318E-15,5.065735652040692837119503980450507822090527647308600539300729553632721988E-17,1.62103540865302170787824127374416250306896884713875217257623345716247103616E-15,1.62103540865302170787824127374416250306896884713875217257623345716247103616E-15,4.66872308178062772443274062722593350382019837810524405109287353106705400523584458896873904E-14,2.8035156232373383322710710967976482924304327626619864036609057887360E-22
2,32,1,0,0,1,fe_geometry,0.03472117279731480599114235019442276097834110260009765625,0.03472117279731156980081826815626628583106694942373353771884713875217257623345716247103616,0.0347211727973115740121876864980591401066821763255434326654231581905432530168396594103842318,4.2113694183417928542756152269018098949465760194383706767833824969393480718E-18,3.2319789546636963636208716589262745542235845768418094567469831603405896157682E-15,1.0113094762756369238984835231728676137870409852691399460699270446367278012E-16,3.23619032408203815647514727415317636411853115286124782742376654283752896384E-15,3.23619032408203815647514727415317636411853115286124782742376654283752896384E-15,9.32050983120193900102038736805512730351874287742622589649887949167478798243663182197274151E-14,2.8035156232373383322710710967976482924304327626619864036609057887360E-22
2,32,1,0,0,1,reused,0.034721172797310746738208564465821837075054645538330078125,0.03472117279731156980081826815626628583106694942373353771884713875217257623345716247103616,0.0347211727973115740121876864980591401066821763255434326654231581905432530168396594103842318,4.2113694183417928542756152269018098949465760194383706767833824969393480718E-18,8.272739791220322373030316275307872133545404231581905432530168396594103842318E-16,2.572070655324032638902362538449641885811230772308600539300729553632721988E-17,8.2306260970369044444875601230388540345959384713875217257623345716247103616E-16,8.2306260970369044444875601230388540345959384713875217257623345716247103616E-16,2.37049196036206319096544102800118779975737231469650255970279982018803710726108060717121009E-14,2.8035156232373383322710710967976482924304327626619864036609057887360E-22
2,32,1,0,0,1,reused_centered,0.034721172797311405933129435652517713606357574462890625,0.03472117279731156980081826815626628583106694942373353771884713875217257623345716247103616,0.0347211727973115740121876864980591401066821763255434326654231581905432530168396594103842318,4.2113694183417928542756152269018098949465760194383706767833824969393480718E-18,1.680790582508455414265003246018626528076654231581905432530168396594103842318E-16,5.12086527601574214288202216796752634102246397308600539300729553632721988E-18,1.6386768883250374857222470937496084291271884713875217257623345716247103616E-16,1.6386768883250374857222470937496084291271884713875217257623345716247103616E-16,4.71953207885857706796802228641615261618516001445803066815347624244501408934101665686294875E-15,2.8035156232373383322710710967976482924304327626619864036609057887360E-22
