family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements
quad,8.0,3.0,0.7,gll,separable,0.0,represented_quadratic,x,direct,1.2410232276527785e-13,6.171476598064032e-14,2.3878676813637867e-12,2.0109016180051347,3.0569533499800295e-13,1.1857448268761525e-13,3.4559428867379493e-13,1.7778983811344495e-13,1.2116294450552956e-15,0.0,0.0,4.440892098500626e-16,6.661338147750939e-15,3.786970736996409e-13,7.105427357601002e-15,0.002395776226983,64.0
quad,8.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xx,recursive,0.15609258367378506,0.008305851682729534,4.18106564030947,18.79308584312316,0.6729485351693906,0.021499275771375462,0.35749655808534975,0.11163883997095035,1.2116294450552956e-15,0.15609258367534376,0.00830585168281271,4.440892098500626e-16,6.661338147750939e-15,3.786970736996409e-13,7.105427357601002e-15,0.002395776226983,64.0
quad,8.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xy,direct,8.217199941150291e-12,7.057961283548478e-12,3.445794760637e-10,1.1642455393321443,2.488829735516831e-11,1.773939252451325e-11,3.4941270900014015e-11,1.5081029065742687e-11,1.2116294450552956e-15,0.0,0.0,4.440892098500626e-16,6.661338147750939e-15,3.786970736996409e-13,7.105427357601002e-15,0.002395776226983,64.0
quad,8.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xxx,recursive,52.51607952553264,0.08464317115628878,1310.8506593512675,620.4408318842958,202.28096978594425,0.15368047330858922,14.035531545730125,4.108639043930046,1.2116294450552956e-15,52.51607952572907,0.0846431711565668,4.440892098500626e-16,6.661338147750939e-15,3.786970736996409e-13,7.105427357601002e-15,0.002395776226983,64.0
quad,8.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xyy,direct,6.414615734981006e-10,3.0492520153033363e-10,2.719841063480999e-08,2.1036686055425586,1.78858289625349e-09,6.439951561284538e-10,2.236145029794539e-09,8.596626175611016e-10,1.2116294450552956e-15,0.0,0.0,4.440892098500626e-16,6.661338147750939e-15,3.786970736996409e-13,7.105427357601002e-15,0.002395776226983,64.0
quad,16.0,3.0,0.7,gll,separable,0.0,represented_quadratic,x,recursive,2.6751937082691014e-05,1.330345395476364e-05,0.000658588819273831,2.0109016180051347,9.897808107653233e-05,3.93721447967354e-05,5.132084973360855e-05,1.3149019320841599e-05,1.2057688308865214e-15,2.6751937082143092e-05,1.3303453954491046e-05,4.440892098500626e-16,6.217248937900877e-15,8.196977431027528e-13,1.7763568394002505e-14,0.0005983000101778429,256.0
quad,16.0,3.0,0.7,gll,separable,0.0,represented_quadratic,x,direct,2.6849412508783125e-13,1.335192744805607e-13,9.380940468872723e-12,2.0109016180051347,7.027389352353204e-13,2.795400639359218e-13,8.70261619026178e-13,4.019045156776016e-13,1.2057688308865214e-15,0.0,0.0,4.440892098500626e-16,6.217248937900877e-15,8.196977431027528e-13,1.7763568394002505e-14,0.0005983000101778429,256.0
quad,16.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xx,recursive,0.024048181699420548,0.0012796292157746,0.7805016888225396,18.793085843123254,0.09817931349795363,0.003581064713233489,0.09419220221403243,0.024127636117346463,1.2057688308865214e-15,0.024048181716010374,0.0012796292166574001,4.440892098500626e-16,6.217248937900877e-15,8.196977431027528e-13,1.7763568394002505e-14,0.0005983000101778429,256.0
quad,16.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xy,direct,3.92030971355759e-11,3.367253368053647e-11,3.1984326298584165e-09,1.164245539332142,1.218116473430451e-10,8.816964532031361e-11,1.5778523630161892e-10,6.241064685558638e-11,1.2057688308865214e-15,0.0,0.0,4.440892098500626e-16,6.217248937900877e-15,8.196977431027528e-13,1.7763568394002505e-14,0.0005983000101778429,256.0
quad,16.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xxx,recursive,14.654739418428626,0.02361988229227546,440.728240386582,620.4408318842998,50.50740909880443,0.048446250340360486,6.812655092314837,1.5492981565921038,1.2057688308865214e-15,14.65473942164626,0.02361988229726117,4.440892098500626e-16,6.217248937900877e-15,8.196977431027528e-13,1.7763568394002505e-14,0.0005983000101778429,256.0
quad,16.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xyy,direct,6.523985545813495e-09,3.101242053346552e-09,4.51355976593959e-07,2.1036686055425626,1.836936738056689e-08,6.851294960033511e-09,2.106666405383451e-08,7.967333465840471e-09,1.2057688308865214e-15,0.0,0.0,4.440892098500626e-16,6.217248937900877e-15,8.196977431027528e-13,1.7763568394002505e-14,0.0005983000101778429,256.0
tri,4.0,3.0,0.7,gll,separable,0.0,represented_quadratic,x,recursive,0.002738204252775042,0.001361679869496244,0.12895089125778547,2.0109016180051524,0.008750973190448852,0.003264090712303,0.008194693868033426,0.0028892830085515495,7.259542277807769e-15,0.0027382042527809777,0.0013616798694991866,7.105427357601002e-15,7.993605777301127e-15,4.15739970116803e-12,3.4638958368304884e-14,0.009574590587897835,32.0
tri,4.0,3.0,0.7,gll,separable,0.0,represented_quadratic,x,direct,3.3399160147030096e-13,1.660904732881095e-13,5.215383680479135e-12,2.0109016180051524,7.435675824611127e-13,2.7734881447584746e-13,1.0265445315342191e-12,5.158840300478093e-13,7.259542277807769e-15,0.0,0.0,7.105427357601002e-15,7.993605777301127e-15,4.15739970116803e-12,3.4638958368304884e-14,0.009574590587897835,32.0
tri,4.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xx,recursive,0.6463160187723314,0.03439115982162255,26.74984342726154,18.793085843123464,2.5250948858331097,0.07253950876908534,1.0498646433469314,0.3394865544240027,7.259542277807769e-15,0.6463160187733333,0.0343911598216803,7.105427357601002e-15,7.993605777301127e-15,4.15739970116803e-12,3.4638958368304884e-14,0.009574590587897835,32.0
tri,4.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xy,direct,9.851489302100689e-12,8.461693834577083e-12,1.8697488002317186e-10,1.1642455393321458,1.8140739620732295e-11,1.2547735314559167e-11,2.64080623818873e-11,1.1591640423150755e-11,7.259542277807769e-15,0.0,0.0,7.105427357601002e-15,7.993605777301127e-15,4.15739970116803e-12,3.4638958368304884e-14,0.009574590587897835,32.0
tri,4.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xxx,recursive,135.41031278892328,0.21824855140121954,3839.4824394654042,620.440831884333,484.5106458470182,0.32688236653176067,90.6233255971384,19.36023916352311,7.259542277807769e-15,135.41031278921886,0.21824855140157812,7.105427357601002e-15,7.993605777301127e-15,4.15739970116803e-12,3.4638958368304884e-14,0.009574590587897835,32.0
tri,4.0,3.0,0.7,gll,separable,0.0,represented_quadratic,xyy,direct,1.5473486371030386e-10,7.355477155604332e-11,2.1049544329798664e-09,2.103668605542569,2.245137976213334e-10,7.522235867865442e-11,2.897978966973906e-10,1.3051393178581912e-10,7.259542277807769e-15,0.0,0.0,7.105427357601002e-15,7.993605777301127e-15,4.15739970116803e-12,3.4638958368304884e-14,0.009574590587897835,32.0
tri,8.0,3.0,0.7,gll,separable,0.0,represented_quadratic,x,recursive,0.0002727475399356687,0.00013563445247323275,0.018010653627630546,2.0109016180051675,0.0008677496157528996,0.00033916837962303227,0.0008654729054011842,0.00023659850090220998,7.211177220477596e-15,0.0002727475399419058,0.000135634452476332,1.7763568394002505e-15,8.881784197001252e-15,8.706471454678933e-12,7.016609515630989e-14,0.0023921363174947566,128.0
