family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_ratio,face_rms_ratio,jump_rms_ratio
quad,4.0,4.0,0.0,gll,coupled,0.0,sine,xxy,1.000000000090847,1.0000000002006,1.0000000001387916
quad,4.0,4.0,0.0,gll,coupled,0.0,sine,xyy,1.0000000000157017,1.0000000000127414,1.0000000000016624
quad,4.0,4.0,0.0,gll,coupled,0.0,sine,yyy,1.0000000000151785,1.000000000009298,1.0000000000823406
quad,4.0,4.0,0.0,gll,coupled,0.0,shortwave,x,0.9999999999997061,0.9999999999996501,1.0000000000002378
quad,4.0,4.0,0.0,gll,coupled,0.0,shortwave,y,0.9999999999990544,0.9999999999989192,1.0000000000030957
quad,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xx,1.0000000000000384,1.000000000000028,0.9999999999996971
quad,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xy,1.0000000000001923,1.0000000000001417,1.0000000000008984
quad,4.0,4.0,0.0,gll,coupled,0.0,shortwave,yy,1.0000000000001419,1.000000000000148,0.9999999999994575
quad,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xxx,1.0000000000003035,1.0000000000001943,1.000000000000594
quad,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xxy,1.000000000000368,1.000000000000454,1.000000000000197
quad,4.0,4.0,0.0,gll,coupled,0.0,shortwave,xyy,1.000000000001056,1.0000000000013434,1.0000000000004465
quad,4.0,4.0,0.0,gll,coupled,0.0,shortwave,yyy,1.0000000000010478,1.000000000000794,1.0000000000024019
quad,4.0,4.0,0.0,gll,coupled,0.0,exponential,x,0.9999999944932197,0.9999999938033152,0.9999998911680502
quad,4.0,4.0,0.0,gll,coupled,0.0,exponential,y,0.9999997483636229,0.9999997952233618,0.9999984867093455
quad,4.0,4.0,0.0,gll,coupled,0.0,exponential,xx,0.9999999982159083,0.9999999978277625,0.999999998172334
quad,4.0,4.0,0.0,gll,coupled,0.0,exponential,xy,1.0000000103654947,1.0000000130011342,0.9999986018744218
quad,4.0,4.0,0.0,gll,coupled,0.0,exponential,yy,0.9999997335017686,0.9999998031794862,0.9999997010106925
quad,4.0,4.0,0.0,gll,coupled,0.0,exponential,xxx,1.0000000016688935,0.9999999997127214,0.999999946991764
quad,4.0,4.0,0.0,gll,coupled,0.0,exponential,xxy,1.0000000170452692,1.0000000202725567,1.0000000029999676
quad,4.0,4.0,0.0,gll,coupled,0.0,exponential,xyy,0.9999991753073619,0.9999988907600589,1.0000003824783141
quad,4.0,4.0,0.0,gll,coupled,0.0,exponential,yyy,0.9999996842467688,0.9999998210919319,0.9999978700800618
quad,4.0,4.0,0.0,gll,coupled,0.0,constant,x,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,constant,y,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,constant,xx,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,constant,xy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,constant,yy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,constant,xxx,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,constant,xxy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,constant,xyy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,constant,yyy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,x,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,y,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xx,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,yy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xxx,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xxy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,xyy,nan,nan,nan
quad,4.0,4.0,0.0,gll,coupled,0.0,physical_quadratic,yyy,nan,nan,nan
